"","season","team","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints"
"11",2015,"Ball State","Mid-American",0.0942207810066369,85.5524691540264,0.408590308370044,1.05521934412799,3.2027027027027,69.8,1.423,0.32141024661509,297.947298612188,0.483279395900755,1.27319981900798,0.178498985801217,4.04444444444444,72,-1.293
"12",2015,"Baylor","Big 12",0.370115482644523,408.607492839554,0.506340579710145,1.32830421958763,4.5304347826087,69.8,1.439,0.144009793248363,142.569695315879,0.405050505050505,1.27264994036231,0.233009708737864,3.56976744186047,68.8,-1.461
"13",2015,"Boise State","Mountain West",0.189109138081396,207.830942751454,0.461328480436761,1.21751361642815,3.78632478632479,67.7,1.602,0.039739254046832,33.9373229559946,0.334894613583138,1.36962239510141,0.277227722772277,2.59375,72.4,-1.212
"14",2015,"Boston College","ACC",0.0166049196507549,12.4536897380662,0.338666666666667,1.24402246703647,2.96551724137931,70.1,1.42,-0.0670108130288573,-50.7941962758738,0.302110817941952,1.256162604899,0.31151832460733,2.36842105263158,70.8,-1.375
"15",2015,"Bowling Green","Mid-American",0.347308124229878,383.775477274015,0.495022624434389,1.34511493826366,4.58252427184466,70.3,1.388,0.141337027696836,149.817249358646,0.427358490566038,1.21030296899438,0.202226345083488,3.40860215053763,70.1,-1.378
"16",2015,"Buffalo","Mid-American",0.147079716527036,119.869968969535,0.431901840490798,1.10648857264812,3.29850746268657,71.5,1.272,0.108447070910618,88.6012569339746,0.427172582619339,1.27204078497415,0.191780821917808,3.1875,69.3,-1.467
"17",2015,"BYU","FBS Independents",0.209829232187044,193.462552076455,0.438177874186551,1.29791338923565,4.2,70.8,1.348,0.0790628626798197,72.6587708027543,0.38411316648531,1.24068222738561,0.256410256410256,3.09756097560976,69.8,-1.414
"18",2015,"California","Pac-12",0.301193081513105,300.590695350079,0.51503006012024,1.23530596199593,3.94339622641509,71,1.34,0.20173820087457,197.501698656204,0.458631256384065,1.17804435359549,0.15819209039548,3.7,70.3,-1.391
"19",2015,"Central Michigan","Mid-American",0.168963132019831,143.449699084836,0.426383981154299,1.24390060101981,3.46341463414634,70.4,1.404,0.123896090531565,96.8867427956839,0.40153452685422,1.14310404893421,0.228070175438596,3.16417910447761,69.4,-1.453
"20",2015,"Charlotte","Conference USA",-0.0132929276270237,-12.5086448970293,0.36769394261424,1.10591860183401,2.54545454545455,71.8,1.284,0.173480410814619,158.561095484562,0.412472647702407,1.28566081341036,0.233333333333333,3.19587628865979,66.7,-1.638
"21",2015,"Cincinnati","American Athletic",0.241396280416947,258.776812606967,0.49160447761194,1.2195963930473,3.70873786407767,72.6,1.209,0.177212064972895,164.275584229874,0.425026968716289,1.18278235649548,0.152749490835031,3.41111111111111,67.8,-1.546
"22",2015,"Clemson","ACC",0.284229699773958,347.328693123777,0.486906710310966,1.16313814000957,4.3716814159292,71.5,1.338,0.00419898339572267,4.09820779422533,0.327868852459016,1.43005015303461,0.2875,2.72222222222222,69.5,-1.434
"23",2015,"Colorado","Pac-12",0.144287584710309,133.033153102905,0.434924078091106,1.09745077680995,3.14102564102564,71.4,1.277,0.169385812021769,149.3982862032,0.444444444444444,1.18603917001673,0.148230088495575,3.3780487804878,69.9,-1.443
"24",2015,"Colorado State","Mountain West",0.189260151835042,176.579721662094,0.469453376205788,1.11225017460738,3.56521739130435,69.6,1.428,0.17772555897643,157.998021930047,0.422947131608549,1.26821227342452,0.229445506692161,3.33333333333333,74.1,-1.124
