"","V1","season","id","name","position","team","conference","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush"
"86",378,2017,3916564,"Tyree Jackson","QB","Buffalo","Mid-American",283,0.436,0.424,0.517
"87",489,2018,3916564,"Tyree Jackson","QB","Buffalo","Mid-American",461,0.335,0.289,0.795
"88",44,2015,545796,"Tanner Mangum","QB","BYU","FBS Independents",506,0.223,0.24,0.002
"89",168,2016,482594,"Taysom Hill","QB","BYU","FBS Independents",466,0.209,0.108,0.549
"90",272,2017,545796,"Tanner Mangum","QB","BYU","FBS Independents",291,0.115,0.135,-0.112
"91",483,2018,4361259,"Zach Wilson","QB","BYU","FBS Independents",255,0.325,0.278,0.511
"92",566,2019,4361259,"Zach Wilson","QB","BYU","FBS Independents",381,0.237,0.224,0.325
"93",742,2020,4361259,"Zach Wilson","QB","BYU","FBS Independents",334,0.626,0.622,0.644
"94",115,2015,547401,"Jared Goff","QB","California","Pac-12",583,0.426,0.422,0.485
"95",188,2016,550386,"Davis Webb","QB","California","Pac-12",651,0.259,0.257,0.329
"96",287,2017,3858269,"Ross Bowers","QB","California","Pac-12",523,0.177,0.173,0.238
"97",431,2018,4242408,"Chase Garbers","QB","California","Pac-12",353,0.199,0.087,0.635
"98",617,2019,4242408,"Chase Garbers","QB","California","Pac-12",302,0.347,0.344,0.356
"99",90,2015,531455,"Cooper Rush","QB","Central Michigan","Mid-American",508,0.341,0.333,0.455
"100",177,2016,531455,"Cooper Rush","QB","Central Michigan","Mid-American",524,0.235,0.236,0.234
"101",294,2017,546706,"Shane Morris","QB","Central Michigan","Mid-American",526,0.195,0.194,0.204
"102",407,2018,4039268,"Tommy Lazzaro","QB","Central Michigan","Mid-American",238,0.115,0.038,0.256
"103",561,2019,3886565,"Quinten Dormady","QB","Central Michigan","Mid-American",301,0.225,0.249,-0.093
"104",1,2015,551918,"Lee McNeill","QB","Charlotte","Conference USA",220,-0.185,-0.152,-0.549
"105",173,2016,3139889,"Hasaan Klugh","QB","Charlotte","Conference USA",303,0.227,0.106,0.621
"106",256,2017,3139889,"Hasaan Klugh","QB","Charlotte","Conference USA",422,-0.029,-0.175,0.359
"107",622,2019,4259269,"Chris Reynolds","QB","Charlotte","Conference USA",445,0.356,0.35,0.37
"108",670,2020,4259269,"Chris Reynolds","QB","Charlotte","Conference USA",226,0.167,0.215,-0.096
"109",47,2015,3125813,"Hayden Moore","QB","Cincinnati","American Athletic",277,0.226,0.222,0.253
"110",109,2015,534259,"Gunner Kiel","QB","Cincinnati","American Athletic",345,0.397,0.41,0.217
"111",153,2016,3125813,"Hayden Moore","QB","Cincinnati","American Athletic",309,0.18,0.195,0.066
"112",291,2017,3125813,"Hayden Moore","QB","Cincinnati","American Athletic",512,0.183,0.168,0.272
"113",482,2018,4239086,"Desmond Ridder","QB","Cincinnati","American Athletic",454,0.324,0.368,0.21
"114",579,2019,4239086,"Desmond Ridder","QB","Cincinnati","American Athletic",463,0.268,0.19,0.499
"115",730,2020,4239086,"Desmond Ridder","QB","Cincinnati","American Athletic",373,0.447,0.385,0.673
"116",116,2015,3122840,"Deshaun Watson","QB","Clemson","ACC",692,0.431,0.429,0.435
"117",221,2016,3122840,"Deshaun Watson","QB","Clemson","ACC",729,0.346,0.381,0.21
"118",315,2017,3728240,"Kelly Bryant","QB","Clemson","ACC",583,0.25,0.234,0.29
