Rk,Team,Rec,STR,KRE,Rk,KE,Rk,PRE,Rk,PE,Rk,FGE,Rk,OFG,Rk,OFP,Rk,DFP,Rk,NFP,Rk
76,UTEP,3-8,-.12,-.11,128,.04,13,-.03,31,.05,86,.26,40,-.32,96,71.7,89,68.6,104,-3.1,104
77,South Carolina,5-7,-.13,.13,23,-.27,125,-.24,119,.11,57,.38,25,.26,21,70.9,66,70.5,68,-.3,69
78,Arkansas State,8-4,-.15,.04,64,.02,21,-.06,46,.08,69,-.39,112,-.32,97,69.9,46,71.7,40,1.8,37
79,Nevada,4-7,-.15,-.06,116,.01,29,-.04,34,.09,65,-.24,104,-.17,74,72.8,115,71.3,51,-1.5,83
80,UTSA,5-7,-.16,.03,74,-.14,107,-.08,53,.26,10,.05,59,-.51,117,68.5,20,70.1,83,1.6,39
81,Baylor,6-6,-.17,-.05,113,.00,40,-.11,70,.21,21,-.46,116,-.12,68,72.5,106,70.5,69,-1.9,89
82,California,5-7,-.17,.08,46,-.09,86,-.12,76,.00,103,.28,36,-.26,89,70.6,61,71.1,54,.5,56
83,Rice,2-9,-.17,.02,82,-.06,72,-.17,101,.08,71,-.06,85,.08,37,71.5,86,70.6,66,-.9,80
84,Louisville,9-4,-.18,-.10,127,-.08,81,-.04,35,.18,33,.02,72,-.18,77,68.8,24,69.8,86,1.0,46
85,Vanderbilt,5-7,-.20,.11,32,-.20,119,-.18,105,.13,49,.38,27,-.28,91,73.0,117,68.1,109,-4.9,116
86,Tulsa,9-3,-.20,.05,58,-.10,89,-.26,123,.25,14,.23,44,-.41,109,70.7,62,69.3,93,-1.4,82
87,Virginia,2-9,-.21,.08,48,-.10,91,.01,19,.17,36,-1.08,127,-.05,57,69.7,40,71.0,60,1.3,44
88,Kansas,1-10,-.22,.05,59,-.02,49,-.35,128,.00,101,.24,43,.18,30,74.2,122,64.1,127,-10.1,128
89,Miami (OH),6-6,-.23,.14,21,-.15,111,-.08,52,.00,104,-.03,77,-.19,82,72.7,111,69.3,94,-3.4,105
90,Michigan State,2-9,-.23,.00,88,-.14,104,-.16,95,.17,37,.38,28,-.34,100,73.3,119,70.5,73,-2.8,101
91,South Alabama,4-7,-.27,-.02,103,-.12,97,-.13,83,.13,47,-.45,115,.27,20,70.8,63,71.3,52,.5,59
92,NC State,6-6,-.27,.11,36,.02,23,-.07,48,-.04,114,-.68,123,-.21,86,71.1,74,68.8,100,-2.4,97
93,Charlotte,3-8,-.29,-.01,94,-.10,90,-.02,29,-.01,106,.04,66,-.19,84,71.4,80,67.1,115,-4.2,111
94,San Jose State,3-8,-.30,.02,80,-.03,58,-.20,111,.17,40,.26,39,-.70,125,70.5,59,71.8,35,1.3,43
95,Toledo,8-4,-.32,-.06,119,-.02,54,-.05,41,.14,46,-.04,81,-.59,122,72.7,110,73.2,12,.5,57
96,Wyoming,7-6,-.33,.02,83,-.17,114,-.12,79,.19,31,-.16,97,-.18,79,70.1,50,71.0,61,.8,50
97,Indiana,6-7,-.34,.02,77,-.05,64,-.06,43,.02,93,-.25,105,-.35,101,69.1,29,70.6,67,1.5,41
98,West Virginia,9-3,-.34,.04,70,-.15,109,-.18,103,.11,59,-.21,102,.06,41,70.6,60,70.8,62,.3,62
99,Purdue,2-9,-.36,.04,66,-.17,113,-.11,69,.19,29,-.10,88,-.43,110,70.4,55,67.7,113,-2.7,98
100,Central Michigan,5-7,-.39,.03,73,-.02,50,-.12,74,.05,85,-.56,120,-.23,87,71.5,82,69.4,91,-2.0,90
101,Georgia,7-5,-.40,.12,27,-.21,120,-.13,85,-.03,110,-.10,89,.01,47,70.8,65,70.4,75,-.4,70
102,Boise State,10-3,-.40,-.07,120,.04,15,-.19,107,.12,56,-.51,118,-.11,67,74.0,120,72.0,32,-2.1,91
103,Syracuse,3-8,-.41,-.02,101,-.33,126,.12,6,.09,66,-.22,103,-.06,60,72.0,100,71.5,47,-.5,73
104,UL Monroe,3-8,-.42,.06,54,-.18,116,-.04,37,.02,94,-.09,86,-.30,92,70.3,53,71.8,37,1.6,40
105,Colorado,9-4,-.44,.08,44,-.13,103,-.13,82,-.13,123,-.32,108,.22,26,72.6,109,68.9,99,-3.7,109
106,Tulane,3-8,-.46,-.05,112,-.07,78,-.19,108,.12,53,-.33,109,-.04,55,68.6,22,68.7,102,.0,64
107,Utah State,2-9,-.46,-.01,97,-.03,57,.01,21,-.07,120,-.19,101,-.49,115,71.1,72,70.5,70,-.6,75
108,Oregon State,3-8,-.46,.07,51,-.05,67,-.09,58,.12,51,-.47,117,-.73,127,71.3,79,69.5,89,-1.8,87
109,Cincinnati,3-8,-.47,-.01,93,-.13,99,-.12,75,.01,99,-.05,82,-.15,71,71.5,87,70.3,78,-1.3,81
110,Florida State,9-3,-.48,.08,45,.05,7,-.27,125,-.13,124,.05,60,-.36,103,71.5,85,69.7,87,-1.7,86
111,Southern Mississippi,6-6,-.53,-.07,122,-.18,117,-.24,120,.16,43,.27,37,-.14,69,74.0,121,66.4,120,-7.7,124
112,Army,6-5,-.55,-.04,109,-.11,93,.06,10,-.06,119,-.90,125,.07,39,69.3,35,66.6,118,-2.8,100
113,Kent State,2-8,-.58,.05,63,-.15,112,-.23,115,.07,77,-.15,94,-.20,85,72.5,108,70.2,79,-2.3,95
114,Duke,3-8,-.58,.08,42,.01,30,-.11,71,-.04,112,-1.45,128,.04,42,71.9,98,71.7,41,-.3,67
115,Middle Tennessee,7-5,-.63,.03,76,-.13,100,-.26,121,.07,74,.24,42,-.56,121,71.8,91,66.0,122,-5.8,119
116,LSU,7-4,-.64,-.08,125,.00,39,-.31,127,.21,22,.02,71,-.71,126,72.8,114,72.0,31,-.8,78
117,UCLA,4-8,-.69,.05,62,-.15,110,-.08,54,-.05,116,-.33,110,-.38,104,70.9,68,68.0,111,-2.9,102
118,New Mexico State,3-9,-.69,-.06,117,-.14,105,-.08,55,-.18,126,.11,54,-.09,61,71.5,84,69.4,92,-2.1,92
119,UNLV,3-8,-.76,-.06,118,-.18,115,-.14,88,-.06,118,.40,22,-.45,112,74.3,123,66.4,121,-7.9,125
120,East Carolina,2-9,-.78,-.02,102,-.23,122,-.20,110,-.04,115,.04,67,-.04,56,74.7,127,68.2,107,-6.4,120
121,Arizona,2-9,-.79,-.05,114,-.13,101,-.29,126,-.06,117,-.13,90,.12,34,74.4,125,67.0,116,-7.4,123
122,Texas State,1-10,-.80,-.07,124,-.24,123,-.04,36,.08,68,-.04,80,-.60,123,71.1,71,65.8,123,-5.3,117
123,Illinois,2-9,-.82,-.03,107,-.20,118,-.17,102,-.03,111,.07,56,-.31,94,71.4,81,64.2,126,-7.2,122
124,Rutgers,1-10,-.83,-.01,96,-.34,128,-.06,45,-.22,127,-.10,87,.43,9,72.8,112,63.7,128,-9.1,126
125,Massachusetts,1-10,-.83,.00,91,-.11,95,-.03,32,.05,82,-.63,122,-.80,128,70.9,67,67.0,117,-3.9,110
126,Georgia State,2-9,-.96,.06,56,-.14,108,-.26,122,-.23,128,-.54,119,.21,27,75.2,128,65.2,125,-10.0,127
127,SMU,4-7,-.97,-.05,115,-.24,124,-.27,124,.09,64,-.19,100,-.23,88,71.9,96,66.6,119,-5.4,118
128,Buffalo,2-9,-1.01,.02,79,-.33,127,-.02,28,-.08,121,-.57,121,-.18,75,71.1,73,68.2,108,-3.0,103

