season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2017,545682,A.J. Erdely,QB,UAB,Conference USA,455,0.246,0.182,0.479,0.122,0.156,0.581,0.215,0.294,112.036,65.054,46.982,21.427,21.558,77.871,59.64,52.396
2017,559556,Will Grier,QB,West Virginia,Big 12,390,0.246,0.267,0.095,0.216,0.101,0.41,0.23,0.272,95.907,91.437,4.47,36.78,10.814,42.191,55.357,40.55
2017,4035671,Tyler Huntley,QB,Utah,Pac-12,473,0.25,0.265,0.215,0.051,0.428,0.252,0.14,0.438,118.437,88.728,29.709,9.762,73.113,26.257,41.862,76.576
2017,3728240,Kelly Bryant,QB,Clemson,ACC,583,0.25,0.234,0.29,0.003,0.18,0.634,0.215,0.32,145.668,97.176,48.492,0.601,38.212,102.724,83.019,62.649
2017,553532,Kyle Postma,QB,Houston,American Athletic,212,0.251,0.24,0.296,0.037,0.039,0.813,0.142,0.414,53.262,40.523,12.739,3.225,2.613,42.292,18.043,35.219
2017,4035584,Cole Kelley,QB,Arkansas,SEC,202,0.251,0.209,0.436,-0.02,0.129,0.573,0.039,0.504,50.692,34.551,16.141,-1.312,8.628,35.542,4.332,46.36
2017,3139921,Christian Chapman,QB,San Diego State,Mountain West,321,0.254,0.267,0.17,0.07,0.126,0.597,0.114,0.388,81.486,74.015,7.471,7.117,14.581,58.496,17.874,63.613
2017,4038809,Jake Bentley,QB,South Carolina,SEC,467,0.255,0.216,0.626,0.219,0.13,0.427,0.253,0.258,119.137,90.971,28.166,36.854,20.313,57.614,67.747,51.39
2017,558337,Nick Fitzgerald,QB,Mississippi State,SEC,400,0.259,0.136,0.503,0.067,0.303,0.475,0.257,0.264,103.661,36.293,67.368,10.176,36.102,53.23,66.694,36.967
2017,3914382,J'Mar Smith,QB,Louisiana Tech,Conference USA,525,0.262,0.241,0.36,0.083,0.209,0.562,0.214,0.326,137.797,103.212,34.584,16.924,37.366,75.293,63.245,74.551
2017,3917810,TaQuon Marshall,QB,Georgia Tech,ACC,360,0.263,0.134,0.34,-0.103,0.36,0.583,0.136,0.457,94.83,17.977,76.853,-11.951,42.162,67.651,29.478,65.353
2017,3918298,Josh Allen,QB,Wyoming,Mountain West,360,0.264,0.22,0.455,0.101,0.092,0.518,0.247,0.283,95.064,64.109,30.956,11.61,11.183,61.169,46.987,48.078
2017,3122611,Ty Gangi,QB,Nevada,Mountain West,427,0.268,0.278,0.183,0.017,0.225,0.748,0.128,0.508,114.42,105.812,8.608,2.923,29.949,80.777,34.607,79.814
2017,3917007,Chad President,QB,Tulsa,American Athletic,223,0.269,0.066,0.823,-0.105,0.254,0.674,0.249,0.294,60.094,10.719,49.375,-7.533,19.575,45.815,30.361,29.733
2017,3128814,Manny Wilkins,QB,Arizona State,Pac-12,541,0.271,0.266,0.291,0.011,0.192,0.658,0.152,0.458,146.382,117.266,29.116,2.214,32.758,101.926,50.166,96.216
2017,557882,Stephen Johnson,QB,Kentucky,SEC,416,0.272,0.196,0.613,0.117,0.205,0.511,0.155,0.435,113.299,66.675,46.624,18.404,27.112,61.378,37.533,75.766
2017,546145,Brandon Silvers,QB,Troy,Sun Belt,453,0.278,0.267,0.421,0.07,0.251,0.533,0.192,0.407,125.963,112.491,13.473,12.144,37.967,61.248,52.348,73.616
2017,4036149,Nathan Stanley,QB,Iowa,Big Ten,385,0.278,0.289,0.119,0.216,0.137,0.437,0.237,0.336,106.862,103.878,2.984,29.598,16.006,53.295,54.141,52.721
2017,3915436,Steven Montez,QB,Colorado,Pac-12,507,0.286,0.284,0.295,0.192,0.278,0.407,0.225,0.37,144.95,116.375,28.576,39.839,45.523,50.889,66.498,78.453
2017,4039275,Kwadra Griggs,QB,Southern Mississippi,Conference USA,346,0.288,0.295,0.261,0.013,0.453,0.581,0.136,0.516,99.586,80.537,19.049,1.866,48.473,52.9,28.321,71.265
2017,3116379,Justice Hansen,QB,Arkansas State,Sun Belt,616,0.29,0.274,0.376,0.189,0.317,0.631,0.263,0.345,178.742,141.486,37.256,49.202,66.296,86.42,107.772,70.97
2017,549804,Mike White,QB,Western Kentucky,Conference USA,617,0.291,0.288,0.372,0.115,0.218,0.695,0.106,0.558,179.53,170.967,8.562,26.217,46.027,113.298,38.437,141.092
2017,4039073,Mason Fine,QB,North Texas,Conference USA,606,0.292,0.32,0.095,0.064,0.314,0.619,0.17,0.51,176.983,169.989,6.994,16.969,58.686,87.267,65.815,111.168
2017,3892775,Jarrett Stidham,QB,Auburn,SEC,463,0.292,0.295,0.27,0.179,0.114,0.626,0.196,0.423,134.97,117.166,17.803,26.889,19.073,88.269,52.497,82.473
2017,3931782,Chase Litton,QB,Marshall,Conference USA,470,0.3,0.304,0.224,0.089,0.236,0.643,0.192,0.438,141.134,136.21,4.924,15.758,36.175,82.298,50.392,90.742
2017,4036585,Caleb Evans,QB,Louisiana Monroe,Sun Belt,483,0.304,0.302,0.31,0.037,0.497,0.572,0.196,0.468,146.959,108.509,38.45,6.877,77.525,72.588,57.143,89.816
2017,3932451,Brandon Wimbush,QB,Notre Dame,FBS Independents,410,0.304,0.152,0.689,0.115,0.195,0.713,0.196,0.447,124.525,44.641,79.884,19.528,22.776,84.157,45.778,78.747
2017,545364,Nic Shimonek,QB,Texas Tech,Big 12,549,0.306,0.313,0.193,0.217,0.173,0.697,0.231,0.426,168.008,161.446,6.562,49.128,32.083,89.247,78.453,89.555
2017,3886377,Josh Rosen,QB,UCLA,Pac-12,497,0.307,0.308,0.302,0.215,0.311,0.465,0.251,0.4,152.731,144.577,8.154,50.177,45.441,51.588,77.624,75.108
2017,549956,Bryant Shirreffs,QB,Connecticut,American Athletic,345,0.309,0.342,0.163,0.092,0.449,0.537,0.153,0.518,106.445,95.868,10.577,11.028,54.772,48.873,30.228,76.217
2017,3916208,Ben Hicks,QB,SMU,American Athletic,521,0.31,0.302,0.423,0.222,0.125,0.586,0.183,0.474,161.638,147.241,14.397,40.397,22.501,86.188,53.669,107.969
2017,4241222,Charlie Brewer,QB,Baylor,Big 12,267,0.312,0.342,0.177,0.137,0.258,0.559,0.227,0.427,83.313,74.794,8.52,13.523,21.135,41.389,34.68,48.634
2017,3916726,Jon Wassink,QB,Western Michigan,Mid-American,231,0.316,0.302,0.413,0.16,0.466,0.22,0.218,0.458,73.025,60.637,12.387,15.196,34.487,12.746,29.931,43.093
2017,550226,Conner Manning,QB,Georgia State,Sun Belt,370,0.316,0.334,0.141,0.161,0.265,0.561,0.252,0.412,117.055,112.275,4.78,22.718,30.456,62.861,56.05,61.005
2017,3929824,Brian Lewerke,QB,Michigan State,Big Ten,538,0.316,0.268,0.51,0.147,0.249,0.583,0.207,0.464,170.03,115.942,54.089,26.823,44.587,95.065,64.204,105.827
2017,3124037,Dalton Sturm,QB,UT San Antonio,Conference USA,415,0.32,0.279,0.456,0.114,0.204,0.642,0.275,0.38,132.71,88.981,43.729,16.97,26.985,80.922,65.094,67.616
2017,547206,Austin Allen,QB,Arkansas,SEC,221,0.321,0.331,0.212,0.048,0.468,0.414,0.131,0.512,70.835,66.812,4.023,3.19,35.088,29.824,14.5,56.335
2017,3915776,Kyle Shurmur,QB,Vanderbilt,SEC,412,0.328,0.342,0.005,0.109,0.2,0.71,0.261,0.438,135.021,134.937,0.084,18.726,19.754,89.457,66.748,68.273
2017,3916103,Jonathan Banks,QB,Tulane,American Athletic,358,0.328,0.302,0.375,0.108,0.241,0.743,0.214,0.476,117.288,70.46,46.828,14.058,30.857,66.089,43.542,73.746
2017,4035292,Shea Patterson,QB,Ole Miss,SEC,303,0.332,0.358,0.075,0.25,0.411,0.485,0.288,0.412,100.679,98.583,2.097,31.737,41.116,34.466,55.787,44.893
2017,3116172,Trace McSorley,QB,Penn State,Big Ten,595,0.333,0.355,0.252,0.091,0.285,0.824,0.116,0.698,198.14,166.615,31.525,21.624,60.441,109.658,43.096,155.044
2017,4040715,Jalen Hurts,QB,Alabama,SEC,402,0.337,0.262,0.499,0.346,0.231,0.447,0.345,0.322,135.333,72.4,62.933,52.911,30.76,50.082,88.619,46.713
2017,3139591,Quinton Flowers,QB,South Florida,American Athletic,543,0.343,0.336,0.358,0.158,0.304,0.705,0.215,0.507,186.305,122.891,63.413,32.132,61.787,94.464,65.524,120.781
2017,4242418,Jordan Ta'amu,QB,Ole Miss,SEC,224,0.344,0.337,0.374,0.243,0.389,0.467,0.254,0.52,77.113,61.046,16.067,24.582,28.391,22.409,37.567,39.546
2017,549865,Kenny Hill,QB,TCU,Big 12,497,0.348,0.365,0.262,0.261,0.175,0.747,0.196,0.595,172.745,150.696,22.049,53.746,27.068,98.543,60.224,112.522
2017,557700,Tyler Keane,QB,Coastal Carolina,Sun Belt,209,0.353,0.391,0.085,0.234,0.234,0.811,0.254,0.486,73.689,71.473,2.216,21.09,15.888,39.719,30.423,43.267
2017,3122713,Jason Driskel,QB,Florida Atlantic,Conference USA,363,0.355,0.348,0.383,0.229,0.323,0.6,0.242,0.543,129.03,98.406,30.624,34.291,38.115,48.028,54.658,74.372
2017,546288,Ryan Finley,QB,NC State,ACC,543,0.361,0.339,0.549,0.098,0.372,0.734,0.258,0.501,195.796,165.589,30.207,19.739,65.121,111.597,80.662,115.134
2017,3116772,Andrew Ford,QB,UMass,FBS Independents,408,0.363,0.364,0.343,0.14,0.532,0.551,0.24,0.554,148.144,140.252,7.891,24.83,62.799,53.982,59.538,88.605
2017,3722362,Brett Rypien,QB,Boise State,Mountain West,384,0.366,0.374,0.181,0.142,0.443,0.676,0.131,0.662,140.5,137.427,3.072,20.908,53.638,75.068,27.985,112.515
2017,3127332,Marcus McMaryion,QB,Fresno State,Mountain West,403,0.366,0.343,0.515,0.367,0.345,0.365,0.449,0.242,147.311,120.026,27.285,54.682,47.223,40.461,107.842,39.47
2017,3886812,Jake Browning,QB,Washington,Pac-12,389,0.369,0.373,0.336,0.341,0.282,0.444,0.28,0.535,143.577,130.477,13.1,54.533,34.417,44.373,70.811,72.766
2017,550170,Danny Etling,QB,LSU,SEC,346,0.374,0.356,0.492,0.213,0.399,0.522,0.327,0.435,129.344,107.191,22.153,24.914,38.284,65.757,64.058,65.287
2017,552119,Kyle Kempt,QB,Iowa State,Big 12,274,0.375,0.419,-0.152,0.087,0.241,0.753,0.246,0.517,102.865,106.051,-3.186,7.37,22.61,69.232,35.161,67.704
2017,3912547,Sam Darnold,QB,USC,Pac-12,552,0.378,0.381,0.35,0.201,0.477,0.568,0.291,0.491,208.823,192.354,16.469,41.144,95.927,72.182,90.466,118.357
2017,4039300,D'Eriq King,QB,Houston,American Athletic,242,0.384,0.363,0.443,0.213,0.336,0.735,0.295,0.521,92.851,65.392,27.459,21.068,26.575,42.658,43.346,49.505
2017,3129089,Ahmad Bradshaw,QB,Army,FBS Independents,284,0.387,-0.053,0.466,0.195,0.342,0.742,0.336,0.505,110.035,-2.264,112.298,20.523,30.764,57.1,66.117,43.917
2017,545624,J.T. Barrett,QB,Ohio State,Big Ten,528,0.396,0.38,0.438,0.281,0.419,0.542,0.345,0.511,209.062,145.087,63.975,62.884,72.047,64.479,126.238,82.824
2017,3128843,Alex McGough,QB,Florida International,Conference USA,430,0.398,0.377,0.524,0.082,0.49,0.667,0.292,0.559,170.936,138.989,31.947,13.298,62.771,85.367,75.968,94.967
2017,548447,Taylor Lamb,QB,Appalachian State,Sun Belt,408,0.404,0.332,0.766,0.358,0.374,0.567,0.362,0.47,164.729,113.378,51.351,58.027,45.675,64.603,90.899,73.83
2017,3138735,Frank Nutile,QB,Temple,American Athletic,232,0.41,0.442,0.155,0.275,0.194,0.737,0.328,0.543,95.104,91.085,4.019,23.95,13.956,50.874,47.301,47.803
2017,3886609,Alex Hornibrook,QB,Wisconsin,Big Ten,347,0.418,0.441,-0.55,0.103,0.465,0.622,0.313,0.512,145.199,149.597,-4.398,10.333,54.457,80.238,50.957,94.242
2017,3124092,John Wolford,QB,Wake Forest,ACC,512,0.42,0.442,0.354,0.28,0.459,0.611,0.329,0.594,215.255,170.255,44.999,68.415,67.942,67.192,110.674,104.581
2017,4035225,Nick Starkel,QB,Texas A&M,SEC,217,0.421,0.431,-0.115,0.272,0.501,0.609,0.195,0.793,91.394,91.854,-0.46,23.704,35.058,33.5,26.39,65.004
2017,4244688,Nathan Rourke,QB,Ohio,Mid-American,395,0.422,0.23,0.915,0.353,0.397,0.626,0.458,0.368,166.8,65.258,101.542,61.717,48.416,59.458,109.368,57.432
2017,545910,Logan Woodside,QB,Toledo,Mid-American,458,0.43,0.436,0.325,0.474,0.256,0.578,0.379,0.504,196.817,188.043,8.774,84.356,39.712,67.645,103.047,93.77
2017,3916564,Tyree Jackson,QB,Buffalo,Mid-American,283,0.436,0.424,0.517,0.257,0.46,0.619,0.353,0.575,123.502,103.863,19.639,27.231,45.098,47.045,62.544,60.958
2017,546267,Nick Stevens,QB,Colorado State,Mountain West,509,0.444,0.445,0.434,0.151,0.541,0.808,0.246,0.7,225.961,208.583,17.378,29.691,86.056,113.939,70.509,155.452
2017,3916387,Lamar Jackson,QB,Louisville,ACC,653,0.448,0.367,0.627,0.344,0.276,0.829,0.374,0.586,292.633,164.717,127.916,97.744,56.295,119.312,158.999,133.634
2017,546539,Riley Ferguson,QB,Memphis,American Athletic,525,0.457,0.451,0.549,0.201,0.608,0.708,0.283,0.722,239.973,220.745,19.227,42.674,105.85,91.358,89.763,150.209
2017,3924327,Drew Lock,QB,Missouri,SEC,461,0.459,0.482,0.159,0.428,0.22,0.889,0.389,0.584,211.449,206.209,5.24,91.545,30.334,95.162,115.105,96.344
2017,4240689,Jake Fromm,QB,Georgia,SEC,342,0.465,0.457,0.537,0.185,0.249,0.889,0.362,0.59,159.096,139.757,19.339,21.672,24.443,109.296,67.719,91.377
2017,4044431,K.J. Costello,QB,Stanford,Pac-12,238,0.469,0.462,0.54,-0.107,0.575,0.892,0.218,0.742,111.617,100.824,10.793,-8.05,49.426,65.109,27.038,84.579
2017,4039602,Khalil Tate,QB,Arizona,Pac-12,327,0.502,0.392,0.653,0.213,0.644,0.662,0.432,0.61,164.17,74.097,90.073,26.018,74.758,56.949,86.041,78.129
2017,3116407,Mason Rudolph,QB,Oklahoma State,Big 12,544,0.528,0.516,0.671,0.365,0.49,0.911,0.391,0.776,286.968,259.453,27.515,88.791,84.791,106.608,137.255,149.713
2017,4038941,Justin Herbert,QB,Oregon,Pac-12,248,0.542,0.526,0.641,0.384,0.457,0.965,0.379,0.803,134.331,112.542,21.789,39.564,37.469,55.962,58.031,76.3
2017,4042113,McKenzie Milton,QB,UCF,American Athletic,494,0.578,0.569,0.614,0.43,0.595,0.878,0.509,0.7,285.442,227.712,57.729,88.95,101.185,98.351,161.458,123.984
2017,550373,Baker Mayfield,QB,Oklahoma,Big 12,496,0.626,0.66,0.426,0.527,0.727,0.676,0.556,0.769,310.294,279.178,31.116,100.674,137.482,70.975,184.982,125.312
