"","Team","Rec","STR","KRE","KE","PRE","PE","FGE","OFG","OFP","DFP","NFP","Year"
"475","Kent State","1-10",-0.21,0.07,-0.11,-0.13,-0.14,0.2,0.4,73.9,65,-8.9,2018
"476","Michigan State","7-6",-0.21,0.01,-0.04,-0.23,0.06,0.3,-0.07,71.4,69.8,-1.6,2018
"477","Tulsa","2-9",-0.21,0.02,0.01,0.07,0.02,-0.61,-0.28,69.9,69.3,-0.6,2018
"478","Louisville","1-10",-0.21,-0.04,-0.11,-0.01,0.05,0.15,-0.09,72.2,66.8,-5.5,2018
"479","Arkansas State","7-5",-0.24,0.05,-0.01,-0.18,0.19,-0.41,-0.34,71,73.1,2.1,2018
"480","Cincinnati","10-2",-0.24,0,-0.11,-0.12,0.34,-0.8,0,68.7,70.2,1.5,2018
"481","Ball State","3-8",-0.26,-0.03,-0.03,0,-0.02,0.16,-0.37,71.4,70.3,-1.1,2018
"482","TCU","6-6",-0.27,0.02,-0.05,-0.04,0.09,-0.44,-0.19,71.8,70.5,-1.3,2018
"483","Northwestern","9-5",-0.27,0.01,-0.1,-0.1,0.14,-0.48,0.09,68.8,70.7,1.9,2018
"484","Indiana","5-7",-0.27,0.02,-0.16,-0.03,0.1,0.35,-0.53,70.6,70.5,-0.1,2018
"485","Houston","7-5",-0.28,0.05,-0.04,-0.21,0.11,-0.01,-0.3,69.9,69.5,-0.4,2018
"486","Bowling Green","2-9",-0.28,-0.05,-0.03,0.02,0.11,-0.41,-0.28,73,67.8,-5.2,2018
"487","Middle Tennessee","7-6",-0.3,-0.01,-0.06,-0.06,0.01,0.01,-0.2,67.6,72,4.4,2018
"488","Charlotte","4-7",-0.32,-0.01,-0.13,-0.21,-0.23,0.78,0.53,74,66.7,-7.3,2018
"489","Boise State","10-3",-0.33,0.06,0.03,-0.05,-0.16,-0.37,-0.08,68.6,71.5,2.9,2018
"490","UTEP","1-10",-0.34,0.01,0.07,-0.18,0.11,-0.36,-0.48,74.2,66.3,-7.9,2018
"491","Louisiana","6-7",-0.34,0.11,-0.16,-0.14,-0.02,0.51,-0.49,69.2,70.7,1.6,2018
"492","Louisiana Tech","7-5",-0.35,-0.02,-0.13,-0.07,0.07,-0.21,0.1,69.3,70,0.7,2018
"493","Florida Atlantic","4-7",-0.36,0.08,0.06,-0.17,-0.12,-0.53,0.02,73.1,69.3,-3.8,2018
"494","South Alabama","2-9",-0.39,0.02,-0.21,-0.1,0.18,-0.15,-0.1,70.6,66.2,-4.3,2018
"495","Nebraska","3-8",-0.41,0.01,-0.09,-0.25,0.04,0.14,0.02,73.8,68.3,-5.5,2018
"496","Eastern Michigan","6-6",-0.42,-0.03,-0.07,0.03,0.07,-0.56,-0.2,66.5,70.9,4.4,2018
"497","Wisconsin","8-5",-0.42,0.01,0.01,-0.11,0,-0.5,-0.15,68.8,68.9,0,2018
"498","Missouri","7-5",-0.43,0,-0.06,-0.08,-0.03,-0.04,-0.29,70.7,71.1,0.5,2018
"499","Colorado","4-7",-0.44,-0.01,0.04,-0.19,0.1,-0.01,-0.77,70.8,71.7,0.9,2018
"500","Buffalo","9-4",-0.47,-0.02,-0.07,-0.04,-0.01,-0.34,-0.18,69.3,70.9,1.6,2018
"501","UL Monroe","5-6",-0.48,0.01,0.06,-0.3,-0.09,-0.25,0.14,73.9,72.1,-1.8,2018
"502","Arkansas","1-10",-0.51,-0.03,-0.2,-0.18,-0.02,0.4,0.15,74.8,66.1,-8.7,2018
"503","Massachusetts","3-8",-0.51,0.01,-0.06,-0.09,-0.05,-0.05,-0.34,69.6,67,-2.6,2018
"504","Western Kentucky","3-8",-0.55,-0.05,-0.03,-0.12,-0.02,-0.23,-0.18,71,70.2,-0.8,2018
"505","East Carolina","3-8",-0.55,-0.06,0,-0.22,0,0.61,-0.81,74.4,68.7,-5.7,2018
"506","Kansas","3-8",-0.56,0.01,0.05,-0.29,0.07,-0.07,-0.68,69.2,72.3,3.1,2018
"507","New Mexico State","2-9",-0.56,0.12,-0.15,0.04,-0.16,-0.2,-0.48,72.2,67.3,-4.9,2018
"508","Oregon","8-4",-0.56,0.09,-0.07,-0.16,0.06,-0.63,-0.37,69.7,70.1,0.5,2018
"509","Ole Miss","4-7",-0.61,0.05,-0.25,-0.19,0.09,0.03,-0.12,74,69.3,-4.7,2018
"510","Connecticut","0-11",-0.62,0.03,-0.32,-0.18,0.12,0.27,-0.1,73.6,69.2,-4.4,2018
"511","Washington","9-4",-0.65,-0.12,-0.01,-0.12,-0.03,-0.11,-0.25,70.9,69.7,-1.2,2018
"512","UNLV","3-8",-0.76,-0.07,-0.03,-0.19,0.06,-0.42,-0.37,71.8,67.3,-4.4,2018
"513","Liberty","4-6",-0.8,0,-0.3,0.03,-0.04,0.08,-0.39,69.3,67.9,-1.4,2018
"514","Colorado State","3-8",-0.92,-0.05,-0.09,-0.15,-0.1,-0.05,-0.49,75.5,68.7,-6.8,2018
"515","Texas State","2-9",-1.17,-0.01,0,-0.07,0.06,-1.79,-0.65,69.9,69.4,-0.5,2018
"516","Western Michigan","6-6",-1.32,-0.12,-0.15,-0.2,-0.19,-0.33,-0.05,71.6,66.5,-5,2018
"517","Kansas State","7-5",1.09,0.46,-0.02,-0.09,0.21,0.6,-0.47,70.1,71.5,1.4,2019
"518","Memphis","11-2",1.09,0.35,0.01,-0.19,0.18,0.84,-0.02,70.5,71.3,0.8,2019
"519","Iowa","10-3",1,0.28,0.03,-0.11,0.16,0.42,0.14,70.5,73,2.5,2019
"520","San Diego State","9-3",0.91,0.2,0.01,-0.1,0.21,0.3,0.31,69.1,76.1,7,2019
"521","Arizona State","7-5",0.89,0.17,0.01,-0.13,0.2,0.18,0.57,68,74.9,6.9,2019
"522","Michigan","9-4",0.86,0.15,-0.01,-0.08,0.23,0.27,0.36,67.9,71.5,3.5,2019
"523","Virginia","8-5",0.81,0.22,0.03,-0.03,0.16,0.33,-0.11,66,74,8,2019
"524","Miami (OH)","7-6",0.77,0.14,-0.01,0.04,0.04,0.56,0.15,67.9,71.4,3.4,2019
"525","Ohio State","13-1",0.76,0.06,0.03,-0.1,0.28,0.36,0.17,66.8,74.2,7.3,2019
"526","Georgia Southern","6-6",0.74,0.15,-0.06,-0.08,0.29,0.14,0.33,67.1,70.2,3.1,2019
"527","Penn State","10-2",0.7,0.01,0.05,-0.06,0.3,0.5,-0.13,68.4,75.9,7.5,2019
"528","Kent State","6-6",0.68,0.19,-0.09,-0.05,0.33,0.34,-0.22,70,72.3,2.3,2019
"529","Virginia Tech","6-5",0.66,0.07,0.02,-0.08,0.19,0.37,0.2,68.4,70.8,2.4,2019
"530","Illinois","6-7",0.66,0.08,0.04,-0.1,0.25,0.25,0.09,68.9,71.8,2.9,2019
"531","Washington","7-5",0.65,0.08,0.01,0.06,0.3,0.32,-0.52,68.2,72.9,4.7,2019
"532","Coastal Carolina","4-7",0.61,-0.01,-0.09,0.14,0.13,0,0.66,69.7,67,-2.6,2019
"533","Houston","3-8",0.61,0.13,-0.1,-0.04,0.33,0.19,0.02,71.3,71.3,0,2019
"534","Duke","4-7",0.56,0.19,-0.06,0.06,0.2,0.34,-0.55,68.6,69.5,0.9,2019
"535","Auburn","8-4",0.52,0.2,-0.05,-0.16,0.15,0.2,0.25,69,71,2,2019
"536","Boise State","11-2",0.45,0.09,-0.01,0.03,0.04,0.57,-0.23,69.2,71.1,1.9,2019
"537","Florida","9-2",0.43,0.04,-0.01,-0.19,0.32,0.5,-0.21,69.5,71,1.5,2019
"538","Washington State","5-7",0.37,0.02,-0.12,-0.01,0.08,0.67,0.23,71.4,71.1,-0.3,2019
"539","Kentucky","7-5",0.36,0.05,0.01,-0.14,0.39,-0.02,-0.36,70.6,73,2.4,2019
"540","Florida Atlantic","10-3",0.36,0.02,-0.03,0.04,0.18,-0.26,0.19,67.1,72.7,5.6,2019
"541","Wyoming","7-5",0.35,0.09,0,-0.04,0.08,0.1,0.05,67.9,71.3,3.4,2019
"542","Louisiana","10-3",0.33,0.17,0.01,-0.21,0.26,-0.06,-0.2,69.2,73.8,4.6,2019
"543","Georgia","11-2",0.32,-0.03,-0.01,-0.21,0.21,0.5,0.16,69.6,72.6,2.9,2019
"544","Massachusetts","1-10",0.31,0.05,-0.16,0.31,0.04,-0.05,-0.06,68.1,65.8,-2.3,2019
"545","Marshall","7-5",0.31,0.02,-0.16,-0.06,0.15,0.52,0.36,72.5,71.3,-1.2,2019
"546","Tennessee","7-5",0.3,-0.02,0.08,0.01,0.06,0.51,-0.46,69.9,70.7,0.7,2019
"547","UCLA","4-8",0.29,0.05,0.01,-0.03,0.09,-0.2,0.22,71.2,70.7,-0.6,2019
"548","Texas Tech","3-8",0.28,-0.01,-0.13,-0.05,0.24,0.36,0.13,69.9,73.4,3.4,2019
"549","Ohio","6-6",0.27,0.1,0.03,-0.19,0.02,0.31,0.12,68.4,72,3.7,2019
"550","Appalachian State","12-1",0.26,0.22,-0.04,-0.1,0.19,-0.14,-0.33,69.2,73.2,4.1,2019
"551","Cincinnati","11-3",0.26,0.07,-0.05,-0.13,0.25,0.04,-0.04,69,73.8,4.8,2019
"552","Rice","3-9",0.26,0.04,0,-0.04,0.21,-0.28,-0.03,68.8,74,5.2,2019
"553","Air Force","10-2",0.25,0.04,-0.04,-0.11,0.1,0.88,-0.37,69.1,70.6,1.5,2019
"554","Oklahoma State","7-5",0.24,-0.03,0.06,-0.12,0.16,0.28,-0.17,71.5,72.4,0.9,2019
"555","Alabama","10-2",0.23,0.23,0.01,0.32,-0.03,-0.31,-1.09,67.9,71.6,3.7,2019
"556","Oklahoma","11-2",0.21,-0.01,0.03,-0.08,0.18,0.48,-0.53,72,70.9,-1.1,2019
"557","Stanford","4-8",0.2,0.09,-0.05,-0.09,0.1,0.14,0.01,73,71.7,-1.3,2019
"558","NC State","3-8",0.2,-0.03,-0.06,-0.04,0.14,0.38,-0.02,73.3,67.9,-5.4,2019
"559","Arkansas State","7-5",0.19,0.07,-0.19,0,0.22,0.36,-0.16,68.9,70.4,1.4,2019
"560","North Texas","3-8",0.19,0.16,-0.12,0.01,0.08,0.21,-0.24,68.9,71.2,2.3,2019
"561","Southern Mississippi","6-6",0.19,0.16,-0.1,-0.16,0.12,0.09,0.13,72.5,69.5,-3,2019
"562","LSU","14-0",0.17,0.12,-0.01,-0.1,0.04,0.37,-0.33,70.6,73,2.3,2019
"563","Northern Illinois","4-7",0.17,-0.04,-0.17,-0.08,0.09,0.39,0.64,74.2,65.9,-8.3,2019
"564","North Carolina","6-6",0.16,0.09,-0.02,-0.19,0.09,0.03,0.24,71.4,69.5,-1.9,2019
"565","Oregon","11-2",0.16,0.26,-0.1,-0.01,0.14,-0.6,-0.17,66.6,72.7,6.1,2019
"566","Notre Dame","11-2",0.15,-0.03,0.04,-0.17,0.21,0.5,-0.42,68.4,73.5,5.1,2019
"567","Texas State","2-9",0.15,0.07,-0.08,-0.05,-0.02,0.14,0.35,71.3,66,-5.3,2019
"568","Northwestern","3-9",0.15,0.07,-0.01,-0.11,0.1,-0.16,0.09,71.6,68.1,-3.5,2019
"569","Western Kentucky","9-3",0.12,-0.03,0.07,-0.2,0.24,-0.22,0.01,70.7,73.1,2.4,2019
"570","Wisconsin","10-4",0.11,0.19,0.02,-0.16,0.08,-0.16,-0.28,70,71.8,1.8,2019
"571","Syracuse","4-7",0.11,0.06,-0.08,-0.25,0.32,0.36,-0.28,68.1,72.1,3.9,2019
"572","East Carolina","2-8",0.1,-0.02,-0.02,0.03,0.07,0.29,-0.35,74,70.5,-3.5,2019
"573","Texas","8-5",0.1,0.02,-0.03,-0.13,0.13,0.39,-0.17,71.2,71.9,0.7,2019
"574","Vanderbilt","2-9",0.1,-0.01,-0.12,-0.06,0.08,0.66,-0.04,74.5,70.2,-4.3,2019
"575","Arkansas","1-10",0.09,0,0.01,-0.12,0.12,0.31,-0.24,71.3,70.3,-1.1,2019
"576","Utah","10-3",0.08,0.03,0.02,-0.11,0.13,-0.12,-0.09,71.1,71.8,0.7,2019
"577","Temple","7-5",0.08,0.02,0.02,-0.2,0.02,0.08,0.34,71.9,68.9,-3,2019
"578","New Mexico","1-10",0.08,0.04,-0.11,-0.23,0.21,0.37,0.1,72.8,72.2,-0.6,2019
"579","Missouri","5-6",0.06,0.03,0.05,-0.22,0.1,0,0.03,70.6,71.4,0.8,2019
"580","West Virginia","4-7",0.01,0.11,-0.04,-0.07,0.12,-0.26,-0.25,70.7,71.3,0.6,2019
"581","Tulane","6-6",0,0.18,-0.08,-0.11,0.07,0.11,-0.34,69.6,70.8,1.2,2019
"582","Army","3-8",-0.01,0.04,-0.15,-0.21,0.29,-0.21,0.34,71.4,68.6,-2.8,2019
"583","SMU","10-3",-0.01,0.24,-0.15,-0.11,0.14,-0.27,-0.15,66.5,71.4,4.9,2019
"584","Indiana","7-5",-0.02,-0.02,-0.03,-0.25,0.15,0.21,0.16,70.8,71.5,0.7,2019
"585","Toledo","5-6",-0.02,0.05,-0.01,-0.2,0.1,-0.12,0.11,72.1,70,-2.2,2019
"586","TCU","4-7",-0.03,-0.06,-0.05,-0.05,0.04,0.59,-0.25,69.6,69.3,-0.4,2019
"587","South Carolina","3-8",-0.06,0.03,-0.08,-0.26,0.15,0.5,-0.11,70.8,72.6,1.8,2019
"588","Texas A&M","7-5",-0.06,0.01,-0.02,-0.09,0.11,0.08,-0.3,70.6,72.8,2.2,2019
"589","Louisiana Tech","9-3",-0.06,0.23,-0.17,-0.18,-0.02,0.22,0.1,70.7,69.9,-0.8,2019
"590","Baylor","10-3",-0.06,0.01,-0.01,-0.2,0.18,0.19,-0.29,70.3,70.8,0.5,2019
"591","Maryland","2-9",-0.09,0.11,-0.16,-0.01,0.16,-0.69,0.16,71,69,-2,2019
"592","Florida International","5-7",-0.09,-0.01,-0.11,-0.02,0.12,0.26,-0.36,71.6,68,-3.6,2019
"593","Eastern Michigan","5-7",-0.11,-0.04,-0.13,-0.08,0.17,0.25,-0.09,70.5,71.1,0.7,2019
"594","Clemson","13-1",-0.12,0.05,0.01,-0.26,0.21,-0.11,-0.3,70.3,73.8,3.6,2019
"595","Louisville","7-5",-0.13,0.13,-0.11,-0.16,0.14,-0.09,-0.18,70.6,68.5,-2.1,2019
"596","Old Dominion","0-11",-0.13,0.06,-0.17,-0.03,0.03,0.04,0.1,68.7,69.5,0.8,2019
"597","BYU","6-6",-0.14,0.02,0.06,-0.14,0.06,-0.2,-0.29,69.1,71.9,2.8,2019
"598","Florida State","5-7",-0.14,0.07,0.01,-0.2,0.08,-0.21,-0.13,71.9,69.8,-2.1,2019
"599","Fresno State","3-8",-0.14,-0.03,-0.12,-0.11,0.21,0.06,-0.11,70.3,69.1,-1.2,2019
"600","Purdue","4-8",-0.16,-0.01,0.01,-0.23,0.03,0.28,-0.07,73.9,67.8,-6,2019
"601","UAB","8-5",-0.19,-0.01,-0.01,-0.19,0.17,0.25,-0.54,71.6,70.6,-1,2019
"602","Bowling Green","2-9",-0.2,-0.03,-0.1,0.02,0.1,-0.65,0.29,68.8,68.4,-0.4,2019
"603","Utah State","6-6",-0.21,0.17,-0.09,-0.17,-0.06,0.53,-0.53,72,70.6,-1.3,2019
"604","Rutgers","2-10",-0.21,0.02,-0.1,-0.2,0.26,0,-0.31,71.9,69.7,-2.2,2019
"605","UCF","9-3",-0.21,0.02,-0.08,-0.15,-0.02,0.26,0.01,71.4,70.2,-1.2,2019
"606","Michigan State","7-6",-0.21,0.04,-0.04,-0.19,0.12,-0.11,-0.21,70.2,70.7,0.6,2019
"607","Hawaii","9-5",-0.22,0.04,-0.02,-0.11,-0.02,-0.14,-0.11,72.6,68.9,-3.7,2019
"608","Iowa State","6-6",-0.24,0.03,-0.06,-0.18,0.1,0.11,-0.27,70.7,73.1,2.4,2019
"609","Mississippi State","5-7",-0.25,-0.08,-0.14,-0.21,0.29,-0.07,0.15,73.2,68.1,-5.2,2019
"610","Miami","5-7",-0.27,0.04,-0.09,0.02,0.21,-0.49,-0.61,68.7,70.2,1.5,2019
"611","Oregon State","4-7",-0.28,0.06,-0.13,-0.18,0.05,-0.65,0.61,72.4,69.5,-2.9,2019
"612","Colorado","5-7",-0.29,-0.07,-0.01,-0.32,0.09,0.16,0.17,71.3,72.7,1.4,2019
"613","Ole Miss","3-8",-0.31,-0.01,-0.05,-0.1,0.05,-0.42,0.12,72.6,72.3,-0.3,2019
"614","California","7-5",-0.31,-0.01,-0.04,-0.13,0.05,-0.13,-0.16,73.4,70.9,-2.5,2019
"615","Pittsburgh","7-5",-0.32,-0.02,0.03,-0.15,0,0.12,-0.44,72,70.3,-1.7,2019
"616","Nevada","6-6",-0.33,-0.06,-0.12,-0.07,0.15,0.39,-0.62,70.1,69.5,-0.6,2019
"617","UTSA","3-8",-0.36,0.02,-0.03,-0.22,0.08,0.06,-0.38,74.9,68.9,-6,2019
"618","Middle Tennessee","3-8",-0.39,-0.04,-0.08,-0.17,0.04,0.09,-0.09,72.5,68.8,-3.7,2019
"619","Boston College","5-7",-0.4,0.04,-0.07,-0.15,0.16,-0.35,-0.43,72.6,70.2,-2.4,2019
"620","Kansas","2-9",-0.41,0.06,-0.08,-0.27,0.04,-0.44,0.29,72.2,69.3,-3,2019
"621","USC","8-5",-0.41,0.04,-0.24,-0.19,0.19,0.27,-0.25,72.5,69.6,-3,2019
"622","Colorado State","3-8",-0.45,0.05,-0.14,-0.11,0.26,-0.05,-0.94,73.2,70,-3.2,2019
"623","Liberty","6-5",-0.45,0,-0.09,-0.3,0.12,-0.11,0.06,73.9,68.3,-5.6,2019
"624","Akron","0-12",-0.46,0.08,-0.04,-0.29,0,-0.4,0.1,71.8,64.2,-7.6,2019
"625","Connecticut","1-10",-0.49,0.05,-0.1,-0.1,0.13,-0.28,-0.66,70.7,70.2,-0.5,2019
"626","Minnesota","10-2",-0.51,-0.03,-0.16,-0.2,0.23,-0.15,-0.21,70.2,70.4,0.2,2019
"627","New Mexico State","1-10",-0.55,0.07,-0.04,-0.26,0.04,-0.06,-0.53,72.5,68,-4.5,2019
"628","Navy","10-2",-0.56,0,-0.19,-0.11,0.08,-0.15,-0.18,71.4,69.2,-2.2,2019
"629","Troy","4-7",-0.57,0.11,-0.16,-0.23,0.05,-0.07,-0.3,72.3,69,-3.3,2019
"630","UNLV","3-8",-0.58,0.04,-0.17,-0.16,-0.12,0.19,-0.01,72.1,67.7,-4.4,2019
"631","Central Michigan","7-6",-0.62,0.03,-0.2,-0.02,0.08,-0.06,-0.7,69.4,67.9,-1.5,2019
"632","Wake Forest","7-5",-0.63,0.03,-0.27,-0.16,0.09,0.47,-0.5,70.3,71,0.7,2019
"633","Tulsa","4-8",-0.63,0,-0.04,-0.21,0.08,-0.41,-0.39,70.8,69.6,-1.1,2019
"634","UTEP","0-11",-0.67,0,-0.18,-0.14,0.05,0.23,-0.56,75.4,67.4,-7.9,2019
"635","Charlotte","6-6",-0.67,0.02,-0.14,-0.15,-0.34,0.31,0.25,73.4,68.4,-5,2019
"636","Georgia State","6-6",-0.68,0.02,-0.07,-0.31,0.11,-0.22,-0.37,71,68,-3,2019
"637","Ball State","4-7",-0.68,0.16,0.01,-0.19,-0.31,0.07,-0.64,69.3,70.9,1.6,2019
"638","San Jose State","4-7",-0.69,0.02,-0.17,-0.16,-0.04,0.36,-0.51,71.4,71.2,-0.1,2019
"639","Nebraska","5-7",-0.71,0,-0.16,-0.03,0.15,-0.63,-0.57,70.8,69.6,-1.2,2019
"640","Western Michigan","6-6",-0.72,0.07,-0.09,-0.29,0.17,-0.85,-0.24,70.9,70.9,0,2019
"641","Georgia Tech","3-8",-0.76,-0.04,-0.16,-0.11,0.11,-1.09,0.23,73.2,66.7,-6.5,2019
"642","South Florida","3-8",-0.76,0.05,-0.21,-0.25,0.13,-0.47,-0.08,72.5,69.1,-3.4,2019
"643","South Alabama","1-10",-0.81,0.03,-0.27,-0.15,0.04,-0.48,0.12,73,67.1,-5.9,2019
"644","Arizona","3-8",-0.86,-0.02,-0.07,-0.35,-0.02,-0.13,-0.19,75,67.7,-7.3,2019
"645","UL Monroe","4-7",-0.94,-0.07,-0.08,-0.25,0.1,-0.42,-0.49,71.2,71.8,0.6,2019
"646","Buffalo","7-5",-1.08,-0.09,-0.15,-0.17,-0.15,-0.35,0.02,68.9,65.8,-3.2,2019
"647","Boise State","5-2",1.11,0.26,0.08,0.36,-0.05,0.83,-0.23,68.8,71.6,2.8,2020
"648","Kansas State","4-6",1.04,0.11,-0.12,0.41,0.24,0.13,0.52,69.6,70.8,1.2,2020
"649","Utah State","1-5",0.99,0.2,0.02,0.07,0.18,0.86,0.11,70.2,76.2,6,2020
"650","Ohio","2-1",0.92,1.14,0.04,-0.19,0.05,-0.98,-0.1,64.8,73.2,8.4,2020
"651","Iowa","6-2",0.78,0.01,0.05,-0.06,0.36,0.19,0.54,67.3,73.1,5.8,2020
"652","Indiana","6-2",0.71,0,0.01,-0.2,0.23,0.86,0.79,69.7,72.8,3.1,2020
"653","Washington State","1-3",0.65,0.03,-0.12,-0.07,0.21,0.86,0.7,70.3,69,-1.3,2020
"654","Miami (OH)","2-1",0.63,0.03,-0.01,-0.04,0.26,0.02,0.71,69.7,76.8,7.1,2020
"655","Army","6-3",0.59,0.03,0.03,0.02,0.06,0,0.86,68.4,71.3,2.9,2020
"656","Louisiana","10-1",0.59,0.24,0,-0.02,0.17,-0.22,0.38,69.2,71.5,2.3,2020
"657","Florida International","0-4",0.56,0.48,0.01,-0.37,0.23,0.65,-0.28,71.4,73.3,1.8,2020
"658","Alabama","13-0",0.5,0.04,0.01,0.06,0.11,0.79,-0.34,70.4,73.8,3.5,2020
"659","Georgia","8-2",0.5,0.17,0.02,-0.13,0.15,0.99,-0.42,68.3,75,6.7,2020
"660","Syracuse","1-10",0.47,0.03,-0.04,-0.03,0.22,0.42,0.14,69.7,70,0.4,2020
"661","Duke","2-9",0.45,-0.02,-0.02,0.09,0.17,0.35,0.02,70.1,69.5,-0.6,2020
"662","BYU","10-1",0.4,-0.05,0.07,-0.07,0.2,1.3,-0.83,72.1,73.1,1,2020
"663","East Carolina","3-6",0.38,0.07,0.02,0.11,0.15,-0.13,-0.17,69.6,67.7,-1.9,2020
"664","Cincinnati","8-1",0.37,0.3,-0.01,-0.09,0.24,-0.22,-0.3,69,72.4,3.4,2020
"665","Florida","8-4",0.36,-0.04,0.03,-0.12,0.35,0.48,-0.32,71.7,74,2.3,2020
"666","Oklahoma","8-2",0.36,0.14,-0.03,-0.05,0.03,0.44,0.08,65.9,70.1,4.2,2020
"667","Texas","7-3",0.36,0.2,0.03,-0.08,0.06,0.05,0.04,65.5,69.6,4.1,2020
"668","Florida State","2-6",0.35,0.01,0,-0.17,0.28,-0.16,0.55,71.2,68.2,-3,2020
"669","Rutgers","3-6",0.35,0.3,-0.21,-0.14,0.31,0.37,-0.12,67.8,68.8,1.1,2020
"670","Troy","4-6",0.34,0.1,0.03,-0.11,0.32,-0.1,-0.18,70.1,72.9,2.8,2020
"671","San Diego State","4-4",0.34,0.27,-0.03,-0.07,0.16,-0.13,-0.1,69.7,70.7,1,2020
"672","Penn State","4-5",0.34,0.11,-0.04,0,0.18,-0.07,0.07,70.8,67,-3.9,2020
"673","Tulane","6-6",0.34,-0.01,-0.09,0.04,0.33,-0.12,0.09,67.1,71.5,4.4,2020
"674","Kentucky","5-6",0.29,-0.01,-0.06,-0.16,0.18,0.23,0.63,71.8,71.3,-0.5,2020
"675","Eastern Michigan","2-4",0.29,0.1,-0.07,-0.25,0.4,0.49,-0.23,68.5,68.9,0.3,2020
"676","Auburn","6-5",0.29,0.05,-0.05,-0.16,0.13,0.7,0.12,71.9,72.3,0.5,2020
"677","Oklahoma State","8-3",0.28,0.14,-0.04,-0.16,0.21,0,0.18,70.3,73.2,2.9,2020
"678","Miami","8-3",0.28,-0.04,0,-0.35,0.35,0.73,0.11,73.1,72,-1.2,2020
"679","Ball State","7-1",0.28,0.09,-0.02,-0.11,0.23,-0.12,0.12,70.4,71.6,1.3,2020
"680","USC","5-1",0.27,0.05,0.12,-0.11,0.31,-0.04,-0.63,62.3,73.6,11.3,2020
"681","San Jose State","7-1",0.26,0.35,-0.04,-0.09,-0.17,0.11,0.21,70.4,73.2,2.8,2020
"682","Houston","3-5",0.26,0.01,-0.16,0.09,0.12,0.43,0.07,72.2,70.9,-1.3,2020
"683","Texas A&M","9-1",0.26,-0.04,0.02,-0.11,0.21,0.02,0.21,69.5,73.8,4.3,2020
"684","Stanford","4-2",0.25,0.07,-0.05,-0.09,0.18,-0.19,0.39,69.5,72.5,3,2020
"685","TCU","6-4",0.24,-0.08,-0.01,0.01,0.16,0.06,0.17,69.6,72.9,3.3,2020
"686","Akron","1-5",0.23,0.06,-0.19,0.17,0,-0.04,0.44,72.9,65.3,-7.6,2020
"687","Texas State","2-10",0.22,0.06,0.01,-0.05,0.16,0.17,-0.27,71.3,69.5,-1.8,2020
"688","Memphis","7-3",0.21,-0.03,0.04,-0.1,0.15,0.47,-0.22,72.8,72.2,-0.7,2020
"689","West Virginia","5-4",0.17,0.02,0.04,-0.21,0.16,0,0.24,70.1,70.2,0.1,2020
"690","Southern Mississippi","2-7",0.17,0.09,0.01,-0.32,0.24,0.19,0.1,71.4,67.1,-4.3,2020
"691","UCLA","3-4",0.17,0.01,-0.04,-0.17,0.1,0.33,0.33,71.5,66.9,-4.6,2020
"692","UTSA","6-5",0.17,0.03,-0.07,-0.19,0.11,0.52,0.31,70.7,72.2,1.5,2020
"693","Pittsburgh","5-5",0.17,-0.01,0.03,-0.18,0.17,0.46,-0.2,69.2,70.9,1.7,2020
"694","Arizona State","2-2",0.16,0.33,0.04,-0.13,0.25,-0.07,-1.2,64.9,75.3,10.4,2020
"695","NC State","8-4",0.15,0.09,-0.08,0,0.14,0.2,-0.34,70.7,72.3,1.6,2020
"696","LSU","5-5",0.15,0.06,-0.12,-0.3,0.28,0.7,0.05,70.4,73.8,3.4,2020
"697","Northwestern","7-2",0.15,0.02,0.01,-0.12,0.14,0.27,-0.2,69.8,69.7,-0.2,2020
"698","Oregon State","2-5",0.12,0.04,0,0.31,-0.23,0.1,-0.46,71.9,68.8,-3.1,2020
"699","Utah","3-2",0.11,0.01,-0.04,0.01,-0.14,0.79,-0.14,68.4,69.3,0.8,2020
"700","Notre Dame","10-2",0.1,-0.01,0.1,-0.1,0.22,-0.05,-0.57,71,73.9,2.9,2020
"701","UAB","5-3",0.1,0.01,-0.13,-0.15,0.3,0.63,-0.36,70.8,71,0.2,2020
"702","Central Michigan","3-3",0.08,-0.03,-0.29,-0.06,0.22,0.93,0.03,67,72,5,2020
"703","Marshall","6-3",0.08,-0.02,0.02,-0.11,0.17,-0.11,-0.06,69.9,72.6,2.7,2020
"704","Wisconsin","4-3",0.07,0.02,0,-0.07,0.23,-0.42,-0.08,65.5,72.9,7.4,2020
"705","Western Kentucky","4-7",0.07,0.02,-0.07,-0.23,0.12,0.96,-0.23,72.3,72.9,0.6,2020
"706","Nevada","7-2",0.06,0.04,-0.08,-0.1,0.2,0.24,-0.31,69.1,72,2.9,2020
"707","UCF","6-4",0.04,0.11,0,-0.32,0.21,-0.27,0.24,70.7,72.7,2.1,2020
"708","Michigan","2-4",0.02,0.31,0.03,-0.21,0.15,-0.69,-0.27,70,69.4,-0.7,2020
"709","Coastal Carolina","10-1",0.01,0.09,-0.02,-0.13,0.04,0.34,-0.3,66.9,73.2,6.3,2020
"710","Missouri","5-5",-0.01,0,-0.01,-0.24,0.25,0.48,-0.56,72.8,72.2,-0.6,2020
"711","Minnesota","3-4",-0.01,-0.09,-0.05,-0.08,0,-0.35,0.83,72.6,69,-3.6,2020
