"","Team","Rec","STR","KRE","KE","PRE","PE","FGE","OFG","OFP","DFP","NFP","Year"
"155","Fresno State","0-11",0.37,0,0.04,-0.04,0.01,0.55,0.13,72.5,68.9,-3.6,2016
"156","Boston College","6-6",0.37,0.11,0.02,-0.12,0.08,-0.13,0.43,68.3,68.3,0,2016
"157","Pittsburgh","7-5",0.37,0.19,-0.02,0.01,0.07,0.15,-0.3,70.8,71.1,0.3,2016
"158","Florida Atlantic","2-9",0.36,0.1,0.05,-0.22,0.17,0.14,0.15,70.9,71.6,0.7,2016
"159","Penn State","11-3",0.36,0.04,0,-0.05,0.18,0.37,-0.18,67.2,71.5,4.3,2016
"160","Nebraska","9-4",0.34,0.06,0.04,-0.05,-0.01,0.41,0.08,70.5,71.7,1.2,2016
"161","Wake Forest","6-6",0.33,0.01,-0.01,-0.13,0.12,0.27,0.42,69,71.1,2.1,2016
"162","Akron","4-7",0.33,0.11,-0.14,0.24,-0.03,0.46,-0.32,71.3,69.1,-2.2,2016
"163","Arkansas","6-6",0.33,-0.01,-0.11,-0.1,0.33,0.21,0.22,71.9,70.2,-1.7,2016
"164","Northern Illinois","5-6",0.32,0.19,-0.04,-0.16,0.05,-0.42,0.64,69.9,69.6,-0.3,2016
"165","Tennessee","8-4",0.32,0.12,0,-0.16,0.2,0.05,-0.05,67.5,72.8,5.3,2016
"166","Miami","8-4",0.29,-0.01,-0.07,-0.06,0.26,0.42,-0.1,71,71.7,0.7,2016
"167","Appalachian State","10-3",0.28,0.1,-0.02,-0.01,0.06,0,0.02,69.7,71.8,2.1,2016
"168","Washington State","8-4",0.27,0.04,-0.05,0.13,0.01,-0.34,0.31,70.2,72.4,2.2,2016
"169","Eastern Michigan","6-6",0.26,-0.03,-0.07,-0.1,0.25,0.25,0.21,72.4,72.7,0.3,2016
"170","Navy","8-5",0.25,0.15,-0.08,0.04,0.09,-0.03,-0.18,69.1,71.5,2.5,2016
"171","New Mexico","8-4",0.23,0.16,-0.06,-0.19,0.05,0.97,-0.4,72.9,70.2,-2.7,2016
"172","UCF","5-7",0.18,0.08,-0.09,-0.1,0.03,0.21,0.31,70.3,65.6,-4.8,2016
"173","Washington","11-2",0.16,0.17,-0.04,-0.07,0.21,0.04,-0.64,69.7,69.9,0.2,2016
"174","Houston","8-4",0.15,0.21,-0.05,-0.13,0.05,0.41,-0.44,69.3,69.9,0.6,2016
"175","Louisiana Tech","8-5",0.15,0.25,-0.07,-0.19,-0.13,0.31,0.25,70.5,70.4,-0.2,2016
"176","Missouri","3-8",0.13,0.01,-0.03,-0.01,0.21,-0.95,0.46,73.1,72.4,-0.7,2016
"177","Hawaii","6-7",0.11,0.04,-0.08,-0.17,0.19,0.54,-0.16,71.2,68.9,-2.3,2016
"178","Oklahoma","11-2",0.11,0.14,0.02,-0.16,0.23,-0.05,-0.55,72.1,72.7,0.5,2016
"179","Kentucky","6-6",0.1,0.07,-0.01,-0.09,0.08,0.36,-0.32,71.9,70.5,-1.5,2016
"180","Western Michigan","12-1",0.09,0.16,0.02,-0.16,0.15,0.06,-0.53,69.5,74.2,4.7,2016
"181","Virginia Tech","9-4",0.09,-0.04,0.05,-0.02,0.07,-0.15,0.01,66.8,72.4,5.6,2016
"182","Bowling Green","3-8",0.08,-0.01,-0.06,-0.24,0.34,0.13,-0.02,72,70.1,-1.9,2016
"183","Louisiana","5-7",0.07,-0.07,0,-0.06,0.12,0.17,-0.01,69.4,68.7,-0.7,2016
"184","Ball State","3-8",0.05,0.06,-0.07,0,0.03,0.12,-0.15,71.8,72.4,0.6,2016
"185","Clemson","13-1",0.04,0.09,-0.02,-0.21,0.06,-0.01,0.24,69,70.5,1.5,2016
"186","Alabama","13-1",0.04,-0.03,0.03,0.02,0.14,-0.05,-0.4,69.1,72.8,3.7,2016
"187","South Florida","10-2",0.02,0.08,-0.01,0,0.04,0.04,-0.47,68.6,72.6,4,2016
"188","Mississippi State","5-7",0.01,0.09,0.02,-0.21,0.01,-0.29,0.38,69.4,73,3.6,2016
"189","TCU","5-7",0.01,0.02,0.01,-0.15,0.12,-0.18,0.08,69.2,71.2,2,2016
"190","Oregon","3-8",-0.01,0.11,0,-0.17,-0.02,0.03,0.03,71.6,70.8,-0.8,2016
"191","Notre Dame","4-8",-0.02,0.17,-0.09,-0.18,-0.08,0.12,0.27,69.8,70.8,1,2016
"192","Texas","5-7",-0.03,-0.04,-0.02,-0.09,0.28,-0.16,-0.31,69.5,72.4,2.9,2016
"193","North Texas","4-8",-0.03,0.01,-0.11,-0.12,0.2,0,0,71.3,69,-2.3,2016
"194","Ole Miss","4-7",-0.04,0.02,-0.01,-0.15,0.1,0.59,-0.5,71.8,72.8,1,2016
"195","Oklahoma State","9-3",-0.06,-0.07,0.04,-0.23,0.26,0.05,-0.17,69.2,76.2,7,2016
"196","Old Dominion","9-3",-0.06,0.12,-0.12,-0.17,-0.04,0.33,0.13,67.8,71,3.2,2016
"197","Wisconsin","11-3",-0.07,0.05,-0.02,-0.13,0,0.1,-0.01,67.3,73.2,5.9,2016
"198","Colorado State","6-6",-0.07,0.07,-0.06,-0.09,0.19,-0.03,-0.47,69.9,72.5,2.6,2016
"199","Florida International","4-8",-0.08,0.01,-0.22,0.05,0.01,0.03,0.33,72.2,68.6,-3.6,2016
"200","Northwestern","7-5",-0.08,0.14,-0.09,-0.09,0.03,-0.27,-0.02,72.1,68.7,-3.4,2016
"201","Marshall","2-9",-0.08,0.11,-0.1,0.09,0.02,-0.77,0.02,69,71.7,2.7,2016
"202","Connecticut","2-9",-0.08,-0.08,0,-0.08,0.04,-0.16,0.25,74.7,70.3,-4.3,2016
"203","Texas Tech","4-7",-0.09,-0.01,-0.04,-0.24,-0.01,0.48,0.21,74.4,67.9,-6.5,2016
"204","UTEP","3-8",-0.12,-0.11,0.04,-0.03,0.05,0.26,-0.32,71.7,68.6,-3.1,2016
"205","South Carolina","5-7",-0.13,0.13,-0.27,-0.24,0.11,0.38,0.26,70.9,70.5,-0.3,2016
"206","Arkansas State","8-4",-0.15,0.04,0.02,-0.06,0.08,-0.39,-0.32,69.9,71.7,1.8,2016
"207","Nevada","4-7",-0.15,-0.06,0.01,-0.04,0.09,-0.24,-0.17,72.8,71.3,-1.5,2016
"208","UTSA","5-7",-0.16,0.03,-0.14,-0.08,0.26,0.05,-0.51,68.5,70.1,1.6,2016
"209","Baylor","6-6",-0.17,-0.05,0,-0.11,0.21,-0.46,-0.12,72.5,70.5,-1.9,2016
"210","California","5-7",-0.17,0.08,-0.09,-0.12,0,0.28,-0.26,70.6,71.1,0.5,2016
"211","Rice","2-9",-0.17,0.02,-0.06,-0.17,0.08,-0.06,0.08,71.5,70.6,-0.9,2016
"212","Louisville","9-4",-0.18,-0.1,-0.08,-0.04,0.18,0.02,-0.18,68.8,69.8,1,2016
"213","Vanderbilt","5-7",-0.2,0.11,-0.2,-0.18,0.13,0.38,-0.28,73,68.1,-4.9,2016
"214","Tulsa","9-3",-0.2,0.05,-0.1,-0.26,0.25,0.23,-0.41,70.7,69.3,-1.4,2016
"215","Virginia","2-9",-0.21,0.08,-0.1,0.01,0.17,-1.08,-0.05,69.7,71,1.3,2016
"216","Kansas","1-10",-0.22,0.05,-0.02,-0.35,0,0.24,0.18,74.2,64.1,-10.1,2016
"217","Miami (OH)","6-6",-0.23,0.14,-0.15,-0.08,0,-0.03,-0.19,72.7,69.3,-3.4,2016
"218","Michigan State","2-9",-0.23,0,-0.14,-0.16,0.17,0.38,-0.34,73.3,70.5,-2.8,2016
"219","South Alabama","4-7",-0.27,-0.02,-0.12,-0.13,0.13,-0.45,0.27,70.8,71.3,0.5,2016
"220","NC State","6-6",-0.27,0.11,0.02,-0.07,-0.04,-0.68,-0.21,71.1,68.8,-2.4,2016
"221","Charlotte","3-8",-0.29,-0.01,-0.1,-0.02,-0.01,0.04,-0.19,71.4,67.1,-4.2,2016
"222","San Jose State","3-8",-0.3,0.02,-0.03,-0.2,0.17,0.26,-0.7,70.5,71.8,1.3,2016
"223","Toledo","8-4",-0.32,-0.06,-0.02,-0.05,0.14,-0.04,-0.59,72.7,73.2,0.5,2016
"224","Wyoming","7-6",-0.33,0.02,-0.17,-0.12,0.19,-0.16,-0.18,70.1,71,0.8,2016
"225","Indiana","6-7",-0.34,0.02,-0.05,-0.06,0.02,-0.25,-0.35,69.1,70.6,1.5,2016
"226","West Virginia","9-3",-0.34,0.04,-0.15,-0.18,0.11,-0.21,0.06,70.6,70.8,0.3,2016
"227","Purdue","2-9",-0.36,0.04,-0.17,-0.11,0.19,-0.1,-0.43,70.4,67.7,-2.7,2016
"228","Central Michigan","5-7",-0.39,0.03,-0.02,-0.12,0.05,-0.56,-0.23,71.5,69.4,-2,2016
"229","Georgia","7-5",-0.4,0.12,-0.21,-0.13,-0.03,-0.1,0.01,70.8,70.4,-0.4,2016
"230","Boise State","10-3",-0.4,-0.07,0.04,-0.19,0.12,-0.51,-0.11,74,72,-2.1,2016
"231","Syracuse","3-8",-0.41,-0.02,-0.33,0.12,0.09,-0.22,-0.06,72,71.5,-0.5,2016
"232","UL Monroe","3-8",-0.42,0.06,-0.18,-0.04,0.02,-0.09,-0.3,70.3,71.8,1.6,2016
"233","Colorado","9-4",-0.44,0.08,-0.13,-0.13,-0.13,-0.32,0.22,72.6,68.9,-3.7,2016
"234","Tulane","3-8",-0.46,-0.05,-0.07,-0.19,0.12,-0.33,-0.04,68.6,68.7,0,2016
"235","Utah State","2-9",-0.46,-0.01,-0.03,0.01,-0.07,-0.19,-0.49,71.1,70.5,-0.6,2016
"236","Oregon State","3-8",-0.46,0.07,-0.05,-0.09,0.12,-0.47,-0.73,71.3,69.5,-1.8,2016
