"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","id","name","position","conference.x","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush","V1","conference.y","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"378",367,"East Carolina",-0.44,-0.31,-0.01,-2.6,2017,297,530478,"Thomas Sirk","QB","American Athletic",305,0.201,0.193,0.233,284,"American Athletic",0.117229900011714,111.016715311093,0.410770855332629,1.30412934803119,3.11764705882353,72.6,1.207,0.421951374493407,356.548911446929,0.518343195266272,1.36218510466477,0.144602851323829,4.2962962962963,69.7,-1.426,119,-1.24,-0.79,119,-14,112,0.25,-16.3,116,471.87,78,-38,-34
"379",367,"East Carolina",-0.44,-0.31,-0.01,-2.6,2017,305,4038524,"Gardner Minshew","QB","American Athletic",320,0.233,0.251,-0.277,284,"American Athletic",0.117229900011714,111.016715311093,0.410770855332629,1.30412934803119,3.11764705882353,72.6,1.207,0.421951374493407,356.548911446929,0.518343195266272,1.36218510466477,0.144602851323829,4.2962962962963,69.7,-1.426,119,-1.24,-0.79,119,-14,112,0.25,-16.3,116,471.87,78,-38,-34
"380",368,"NC State",-0.44,-0.04,-0.01,1.3,2017,359,546288,"Ryan Finley","QB","ACC",543,0.361,0.339,0.549,323,"ACC",0.228571837992475,224.914688584595,0.451219512195122,1.26605897583675,3.62886597938144,66.3,1.681,0.136287198874217,122.931053384544,0.416851441241685,1.23684633814923,0.211970074812968,3.53947368421053,67.8,-1.592,24,0.91,0.52,22,12.9,24,0.692,13.1,21,609.76,44,23,20
"381",369,"Nevada",-0.45,-0.05,-0.15,-4.2,2017,324,3122611,"Ty Gangi","QB","Mountain West",427,0.268,0.278,0.183,325,"Mountain West",0.153432358186637,125.661101354856,0.41025641025641,1.30213442845149,3.98591549295775,68.5,1.536,0.228088254634596,213.034429828713,0.487152034261242,1.17633958029164,0.211009174311927,3.30612244897959,65.3,-1.767,108,-1.02,-0.43,98,-16.4,119,0.25,-11.3,101,416.22,93,-8,-26
"382",371,"Central Michigan",-0.48,-0.21,0.1,-4.5,2017,294,546706,"Shane Morris","QB","Mid-American",526,0.195,0.194,0.204,275,"Mid-American",0.0994884284404881,91.4298657368085,0.374319912948857,1.36629064602905,3.13095238095238,70.6,1.413,0.0736875403049014,71.4769140957544,0.394845360824742,1.12839986856608,0.171814671814672,3.2093023255814,66,-1.718,94,-0.59,-0.27,87,-8.6,98,0.615,-7.9,92,418.88,89,-3,-9
"383",372,"Akron",-0.49,-0.05,-0.02,-1.5,2017,265,4038741,"Kato Nelson","QB","Mid-American",235,0.09,0.104,0.062,258,"Mid-American",0.0860933545670236,77.1396456920531,0.376116071428571,1.27769620828392,3.08108108108108,68.1,1.533,0.165038580892002,170.979969804115,0.468146718146718,1.16241474576765,0.182815356489945,3.52,67.6,-1.609,116,-1.17,-0.55,106,-17.6,121,0.5,-12.3,105,381.94,107,2,-14
"384",372,"Akron",-0.49,-0.05,-0.02,-1.5,2017,277,550357,"Thomas Woodson","QB","Mid-American",308,0.138,0.15,0.007,258,"Mid-American",0.0860933545670236,77.1396456920531,0.376116071428571,1.27769620828392,3.08108108108108,68.1,1.533,0.165038580892002,170.979969804115,0.468146718146718,1.16241474576765,0.182815356489945,3.52,67.6,-1.609,116,-1.17,-0.55,106,-17.6,121,0.5,-12.3,105,381.94,107,2,-14
"385",373,"Rice",-0.5,-0.06,0.03,-4.9,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,"Conference USA",0.117539821571619,85.2163706394235,0.402758620689655,1.30930951236249,2.8125,72.1,1.28,0.306918793708244,247.376547728845,0.501240694789082,1.21965816687227,0.146171693735499,4.06172839506173,70,-1.404,128,-1.98,-1.22,127,-23.6,128,0.083,-22.9,124,379.54,108,-16,-20
"386",374,"Georgia State",-0.53,-0.21,0.03,0.3,2017,345,550226,"Conner Manning","QB","Sun Belt",370,0.316,0.334,0.141,293,"Sun Belt",0.145252100225296,101.240713857031,0.411764705882353,1.23833693550384,2.14516129032258,69.4,1.497,0.17429564408436,116.429490248353,0.401197604790419,1.27177836315968,0.185758513931889,2.70689655172414,68.1,-1.577,110,-1.08,-0.6,107,-14,111,0.583,-15.5,113,364.16,112,-1,1
"387",375,"Cincinnati",-0.53,-0.24,0.21,-2.5,2017,291,3125813,"Hayden Moore","QB","American Athletic",512,0.183,0.168,0.272,277,"American Athletic",0.128484158295516,103.943684061072,0.402966625463535,1.22619709608999,3.14084507042254,71.7,1.288,0.219387838856122,196.35211577623,0.432402234636871,1.23911514160738,0.207436399217221,3.96153846153846,70.5,-1.366,104,-0.8,-0.61,108,-6.4,95,0.333,-12.3,106,500.95,72,-34,-23
"388",376,"Oklahoma State",-0.55,-0.22,0.02,3,2017,386,3116407,"Mason Rudolph","QB","Big 12",544,0.528,0.516,0.671,336,"Big 12",0.322114055805715,329.522679089247,0.466275659824047,1.45021592759555,4.25225225225225,69.5,1.435,0.116667263786366,113.63391492792,0.407597535934292,1.26442773352523,0.226215644820296,3.0625,70.4,-1.354,11,1.34,0.75,12,19.1,15,0.769,17,11,635.23,38,27,23
"389",377,"UTEP",-0.61,-0.14,0.06,-4,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,"Conference USA",-0.0709330546668326,-47.879811900112,0.331851851851852,1.15377048277793,1.76470588235294,72,1.271,0.282087487134605,242.031063961491,0.479020979020979,1.23069983087516,0.16468253968254,4.3855421686747,68,-1.578,130,-2.25,-1.37,130,-27.4,130,0,-27.2,130,316.41,123,-7,-7
"390",378,"Arizona",-0.63,-0.1,-0.25,0.4,2017,385,4039602,"Khalil Tate","QB","Pac-12",327,0.502,0.392,0.653,261,"Pac-12",0.333768164024057,304.730333753964,0.465498357064622,1.36706397352727,4.17021276595745,68.5,1.522,0.21762533346911,222.195465471961,0.4564152791381,1.26704835674807,0.173824130879346,3.77319587628866,70,-1.384,54,0.24,0.14,51,3.7,59,0.538,5.3,43,607.31,46,3,-13
"391",379,"Washington State",-0.66,-0.24,0.05,-4.8,2017,295,550629,"Luke Falk","QB","Pac-12",592,0.196,0.196,0.202,381,"Pac-12",0.158604674176138,162.411186356365,0.4560546875,1.13882140969191,3.43478260869565,68.8,1.497,0.0591508666895824,48.9769176189742,0.391304347826087,1.18514235064357,0.234192037470726,3.12328767123288,66.2,-1.704,42,0.49,0.22,42,8.6,40,0.692,7.1,36,548.89,60,24,20
"392",380,"Ball State",-0.67,-0.13,-0.31,-4.3,2017,255,546005,"Jack Milas","QB","Mid-American",249,-0.14,-0.158,0.005,267,"Mid-American",0.0330660991688771,29.9909519461715,0.402425578831312,1.0980735694872,2.63076923076923,71.7,1.267,0.265864249385821,205.247200525854,0.439119170984456,1.45224063949711,0.185882352941176,3.93333333333333,65.6,-1.729,127,-1.88,-1.27,129,-19.7,123,0.167,-26.5,129,385.26,104,-25,-19
"393",381,"Kansas",-0.78,-0.28,-0.09,-9.7,2017,258,3917957,"Carter Stanley","QB","Big 12",235,-0.003,0.004,-0.034,301,"Big 12",0.0322026321906258,27.8230742127007,0.342592592592593,1.24202539821598,3.41071428571429,71.6,1.314,0.260723770308156,230.47981295241,0.451357466063348,1.29945972196123,0.248407643312102,4.31372549019608,64.2,-1.852,117,-1.2,-0.71,116,-14.8,114,0.083,-16.6,119,511.2,69,-50,-45
"394",381,"Kansas",-0.78,-0.28,-0.09,-9.7,2017,273,3127261,"Peyton Bender","QB","Big 12",298,0.127,0.134,-0.112,301,"Big 12",0.0322026321906258,27.8230742127007,0.342592592592593,1.24202539821598,3.41071428571429,71.6,1.314,0.260723770308156,230.47981295241,0.451357466063348,1.29945972196123,0.248407643312102,4.31372549019608,64.2,-1.852,117,-1.2,-0.71,116,-14.8,114,0.083,-16.6,119,511.2,69,-50,-45
"395",383,"UAB",-0.81,-0.14,-0.08,-3.1,2017,312,545682,"A.J. Erdely","QB","Conference USA",455,0.246,0.182,0.479,366,"Conference USA",0.172035467184821,151.047140188273,0.427107061503417,1.16594595229079,3.59036144578313,69,1.489,0.11629531224111,104.433190392517,0.391982182628062,1.29043170859073,0.232067510548523,3.18987341772152,65.4,-1.703,113,-1.15,-0.62,110,-15.5,116,0.615,-12.6,107,417.39,91,-16,-25
"396",384,"Georgia Tech",-0.86,-0.17,0.11,-4,2017,322,3917810,"TaQuon Marshall","QB","ACC",360,0.263,0.134,0.34,294,"ACC",0.193065533824635,144.799150368477,0.441333333333333,1.19282283999685,4.125,67.6,1.579,0.143629329676265,103.269488037235,0.457579972183588,1.04329269526045,0.152974504249292,3.35211267605634,67.1,-1.644,38,0.53,0.26,39,8.9,39,0.455,7.6,33,574.35,54,21,15
"397",385,"Texas State",-0.89,-0.14,0.07,-5.4,2017,268,546603,"Damian Williams","QB","Sun Belt",384,0.11,0.114,0.095,360,"Sun Belt",0.0560446121560531,43.266440584473,0.374352331606218,1.24385500281922,2.2,72.5,1.223,0.212963347120416,166.324374101045,0.446862996158771,1.19409514831969,0.192405063291139,3.65384615384615,66.8,-1.639,125,-1.79,-1.01,124,-23.5,127,0.167,-25.6,128,274.67,125,-3,-2
"398",386,"Vanderbilt",-1.1,-0.27,0,-5.6,2017,349,3915776,"Kyle Shurmur","QB","SEC",412,0.328,0.342,0.005,376,"SEC",0.166756475531574,125.234113124212,0.419440745672437,1.27662338558473,4.32258064516129,70.6,1.362,0.20691854737119,169.052453202263,0.422276621787026,1.27426222686893,0.196467991169978,3.85365853658537,68.6,-1.507,80,-0.27,-0.3,89,0.6,70,0.417,-3.3,76,607.68,45,-31,-25
"399",387,"Toledo",1.22,0.32,0,7.5,2018,421,4039495,"Eli Peters","QB","Mid-American",286,0.184,0.18,0.262,492,"Mid-American",0.218658135488437,205.101331088154,0.455223880597015,1.24672138440301,3.91089108910891,65.4,1.78,0.188676825602818,179.620337973883,0.430672268907563,1.2519671728659,0.199566160520607,4.1125,73.2,-1.187,74,-0.07,-0.12,76,2,66,0.538,-1.1,72,506.62,73,1,7
"400",388,"Troy",1.15,-0.05,0.3,4.3,2018,427,4039901,"Sawyer Smith","QB","Sun Belt",299,0.194,0.216,0.105,493,"Sun Belt",0.205735135523188,176.932216549942,0.418604651162791,1.29900832287688,3.55555555555556,68.3,1.552,0.134771594566814,118.059916840529,0.401826484018265,1.29092450183008,0.237068965517241,3.45070422535211,72.4,-1.235,68,-0.02,-0.09,72,2.6,62,0.769,-3.2,79,363.12,113,34,51
"401",389,"Alabama",1,0.04,0.02,7.5,2018,523,4241479,"Tua Tagovailoa","QB","SEC",358,0.572,0.592,0.414,389,"SEC",0.408224433464309,414.347799966274,0.54384236453202,1.26377143800456,4.54054054054054,68.7,1.494,0.0567697000320114,55.8046151314672,0.355035605289929,1.34827073454669,0.205128205128205,2.86842105263158,73.1,-1.183,1,2.76,1.65,1,36.3,1,0.933,30.1,2,978.54,2,0,1
"402",390,"Texas A&M",0.92,-0.22,0.45,3.3,2018,469,4240904,"Kellen Mond","QB","SEC",555,0.295,0.266,0.407,489,"SEC",0.242434599502132,240.010253507111,0.483838383838384,1.17112501301653,3.4639175257732,71.8,1.298,0.165518037984066,130.593731969428,0.387832699619772,1.38309190458704,0.250720461095101,3.296875,75.1,-1.019,11,1.48,0.82,9,21.6,11,0.692,15.9,13,805.66,16,3,5
"403",391,"Miami (OH)",0.69,-0.22,0.01,2.9,2018,486,3125968,"Gus Ragland","QB","Mid-American",415,0.333,0.336,0.32,445,"Mid-American",0.166243640606329,137.483490781434,0.389359129383313,1.35027806698282,3.97222222222222,70,1.459,0.174843730985531,146.69389029686,0.413587604290822,1.23173824684187,0.185267857142857,4.02898550724638,72.9,-1.211,79,-0.13,-0.07,69,-0.7,79,0.5,-3.9,82,428.93,90,8,11
"404",392,"BYU",0.68,-0.15,0.24,1.8,2018,483,4361259,"Zach Wilson","QB","FBS Independents",255,0.325,0.278,0.511,403,"FBS Independents",0.170186613977666,145.509554950905,0.446783625730994,1.13190756090126,3.92941176470588,68.6,1.484,0.1078217549633,96.5004706921537,0.414525139664804,1.06029632758364,0.164759725400458,3.45333333333333,70.5,-1.375,53,0.24,0.05,59,6.2,46,0.538,2.7,60,572.83,55,-5,9
"405",393,"Ohio",0.67,0.19,0.07,3.7,2018,510,4244688,"Nathan Rourke","QB","Mid-American",403,0.422,0.291,0.751,463,"Mid-American",0.341452395823389,297.405036762172,0.524684270952928,1.21758690867139,4.7578947368421,69.4,1.465,0.231330549257058,192.467016981872,0.424278846153846,1.3641079152178,0.204724409448819,3.75,73.6,-1.167,40,0.45,0.39,29,4,54,0.692,3.6,54,358.54,115,61,61
"406",394,"Georgia Southern",0.66,0.03,0.1,5.7,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,"Sun Belt",0.208748718485811,161.780256826503,0.433548387096774,1.20302426014446,3.79012345679012,66.7,1.657,0.163018294056836,139.706678006708,0.448074679113186,1.11647013054601,0.187214611872146,3.61428571428571,72.6,-1.206,78,-0.12,0.01,64,-2.4,87,0.769,-2.4,76,335.5,124,48,37
"407",395,"Utah",0.64,-0.16,0.17,0.3,2018,416,4243258,"Jason Shelley","QB","Pac-12",228,0.164,0.167,0.154,502,"Pac-12",0.15148828203204,149.367446083591,0.449290060851927,1.09800772306858,3.51648351648352,70,1.39,0.0237372406589564,22.7877510325981,0.361458333333333,1.2550028832622,0.265033407572383,2.84210526315789,71.7,-1.263,22,0.95,0.42,28,16.8,17,0.643,13.3,20,615.72,44,24,27
"408",395,"Utah",0.64,-0.16,0.17,0.3,2018,441,4035671,"Tyler Huntley","QB","Pac-12",338,0.224,0.251,0.15,502,"Pac-12",0.15148828203204,149.367446083591,0.449290060851927,1.09800772306858,3.51648351648352,70,1.39,0.0237372406589564,22.7877510325981,0.361458333333333,1.2550028832622,0.265033407572383,2.84210526315789,71.7,-1.263,22,0.95,0.42,28,16.8,17,0.643,13.3,20,615.72,44,24,27
"409",396,"Auburn",0.62,-0.01,0.25,4.1,2018,452,3892775,"Jarrett Stidham","QB","SEC",439,0.262,0.288,0.058,396,"SEC",0.16837626249357,152.043765031694,0.438538205980066,1.16268197557778,3.41573033707865,67.9,1.578,0.0741758103067177,67.4999873791131,0.371428571428571,1.24226907010598,0.231121281464531,2.48101265822785,72.8,-1.191,10,1.49,0.75,12,23.6,7,0.615,16,12,828.42,14,2,7
"410",397,"New Mexico",0.62,0.08,0.12,-0.7,2018,424,3915379,"Sheriron Jones","QB","Mountain West",251,0.192,0.131,0.386,456,"Mountain West",0.0995927781430039,76.985217504542,0.403622250970246,1.20908398174896,4.01612903225806,70.3,1.356,0.269017206074025,237.542192963364,0.459796149490374,1.27512654783809,0.146938775510204,3.81111111111111,70,-1.409,104,-0.97,-0.65,111,-9.5,99,0.25,-14.7,112,420.55,93,-19,-6
"411",398,"Marshall",0.53,0.09,0.14,7.3,2018,438,4261909,"Isaiah Green","QB","Conference USA",374,0.22,0.224,0.176,441,"Conference USA",0.133063546138843,122.152335355458,0.418300653594771,1.2077925425494,3.27835051546392,66.7,1.674,0.0823736616547798,75.948516045707,0.362255965292842,1.22033950277865,0.231707317073171,3.2987012987013,72.2,-1.253,76,-0.12,-0.13,79,1,73,0.692,-1.5,73,465,84,11,11
"412",399,"Minnesota",0.52,0.12,0.23,2.9,2018,398,4360936,"Zack Annexstad","QB","Big Ten",206,0.08,0.084,-0.006,449,"Big Ten",0.180595984927657,157.479698856917,0.446100917431193,1.17466128239159,3.63736263736264,69,1.459,0.196737492421071,168.407293512436,0.433411214953271,1.24862938279835,0.224390243902439,3.12987012987013,72.2,-1.261,44,0.38,0.21,45,6.3,45,0.538,5.2,48,591.51,48,0,3
"413",400,"Texas Tech",0.52,-0.04,0.25,1.1,2018,470,4043136,"Jett Duffey","QB","Big 12",230,0.298,0.269,0.374,491,"Big 12",0.223497225033211,219.474274982613,0.490835030549898,1.14860613723209,4.3,71.1,1.367,0.196440253444105,178.760630634136,0.432967032967033,1.24156690847415,0.195899772209567,3.46511627906977,71.6,-1.292,38,0.5,0.24,43,8.7,37,0.417,9.1,34,562.81,60,26,23
"414",400,"Texas Tech",0.52,-0.04,0.25,1.1,2018,501,4362159,"Alan Bowman","QB","Big 12",353,0.381,0.407,-0.036,491,"Big 12",0.223497225033211,219.474274982613,0.490835030549898,1.14860613723209,4.3,71.1,1.367,0.196440253444105,178.760630634136,0.432967032967033,1.24156690847415,0.195899772209567,3.46511627906977,71.6,-1.292,38,0.5,0.24,43,8.7,37,0.417,9.1,34,562.81,60,26,23
"415",401,"Utah State",0.52,-0.03,-0.04,2.2,2018,518,4036378,"Jordan Love","QB","Mountain West",458,0.467,0.487,0.244,503,"Mountain West",0.329449183934486,313.306173921696,0.487907465825447,1.2776338717182,4.49494949494949,67.5,1.587,0.0177565291393931,17.6499899645568,0.369215291750503,1.25354356173187,0.204868154158215,2.55,71.1,-1.282,21,0.96,0.53,22,14.2,21,0.846,11.8,23,378.84,103,80,82
"416",402,"Syracuse",0.46,-0.07,0.13,6.4,2018,484,3916447,"Eric Dungey","QB","ACC",492,0.325,0.286,0.429,484,"ACC",0.187046691467231,200.888146635806,0.452513966480447,1.10393894722114,3.92173913043478,65.3,1.717,0.14744508756745,141.252393889618,0.41544885177453,1.23458012899608,0.200913242009132,3.25609756097561,73.8,-1.137,36,0.54,0.34,35,7.5,40,0.769,10.8,28,581.16,52,24,12
"417",403,"Iowa",0.42,0,0.01,4.2,2018,495,4036149,"Nathan Stanley","QB","Big Ten",432,0.359,0.361,0.318,429,"Big Ten",0.195576305548918,177.583285438417,0.415198237885463,1.29153426167053,3.74390243902439,66.5,1.684,0.0253983882624749,21.3854429170038,0.404988123515439,1.04612613002261,0.16751269035533,2.88461538461538,68.2,-1.514,18,1.09,0.72,13,13.3,23,0.692,15.1,16,615.8,43,27,20
"418",404,"Florida International",0.42,0.07,0.02,1,2018,513,3914395,"James Morgan","QB","Conference USA",350,0.432,0.456,0.035,418,"Conference USA",0.277128280875712,241.932989204497,0.426116838487972,1.39566637357885,4.02298850574713,70.9,1.343,0.186832585140222,165.533670434236,0.455981941309255,1.13207717196513,0.153688524590164,3.5625,73.8,-1.137,91,-0.45,-0.15,83,-7.4,96,0.692,-4.3,86,482.76,79,-7,-17
"419",406,"Oklahoma",0.4,0.14,0.17,-0.8,2018,524,3917315,"Kyler Murray","QB","Big 12",509,0.732,0.722,0.761,465,"Big 12",0.49554685823598,461.354125017697,0.545649838882922,1.38391935221168,4.75490196078431,71.6,1.27,0.283638591322132,295.267773566339,0.476464937560038,1.24595421012859,0.172147001934236,4.26881720430108,72,-1.217,4,1.73,0.96,5,24.9,4,0.857,21.3,5,843.79,11,6,7
"420",407,"LSU",0.4,-0.25,0.2,5.7,2018,461,3915511,"Joe Burrow","QB","SEC",505,0.277,0.242,0.43,440,"SEC",0.16177388292405,157.082440319252,0.428424304840371,1.13104574683872,3.71910112359551,69.4,1.449,0.0861498432151113,78.6548068553966,0.388828039430449,1.1900252563874,0.200934579439252,2.92857142857143,74.4,-1.079,6,1.61,0.86,7,24.2,5,0.769,14.9,17,890.95,7,-10,2
"421",408,"Ohio State",0.4,-0.04,0.23,4.6,2018,515,4040616,"Dwayne Haskins","QB","Big Ten",606,0.44,0.481,0.047,464,"Big Ten",0.294348516831557,331.730778469165,0.500443655723159,1.21300519356422,3.94642857142857,68.9,1.497,0.127245654543884,124.191758834831,0.396516393442623,1.30417687099257,0.240449438202247,3.15853658536585,75.2,-1.035,9,1.53,0.77,11,24.1,6,0.929,21.6,4,984.3,1,-3,-5
"422",409,"Michigan",0.4,0.05,0.14,6.5,2018,504,4035292,"Shea Patterson","QB","Big Ten",391,0.391,0.365,0.561,446,"Big Ten",0.237610356730397,215.750203911201,0.476872246696035,1.18186507870175,3.86075949367089,67.2,1.645,0.0121280992901203,9.44778934700371,0.34017971758665,1.37003253646754,0.235294117647059,2.56716417910448,69,-1.412,7,1.54,0.87,6,22,10,0.769,20.1,6,863.26,8,2,-2
"423",410,"Oklahoma State",0.38,-0.08,0.12,-0.2,2018,498,3122424,"Taylor Cornelius","QB","Big 12",605,0.372,0.34,0.553,466,"Big 12",0.27733165043551,281.768956842478,0.46751968503937,1.31090421578442,4.51041666666667,71.1,1.312,0.225819169928206,220.399509849929,0.421106557377049,1.33357309651016,0.200413223140496,3.78260869565217,71.8,-1.254,28,0.8,0.37,32,13.8,22,0.538,10.3,30,652.93,37,7,15
"424",411,"Akron",0.31,-0.03,0.02,-7.4,2018,419,4038741,"Kato Nelson","QB","Mid-American",467,0.177,0.194,0.119,388,"Mid-American",0.0422905962131993,32.4368872955238,0.345501955671447,1.25587069283366,2.828125,73.3,1.203,0.0887918046495842,79.9126241846258,0.422222222222222,1.11165166339402,0.205940594059406,3.375,68.1,-1.533,115,-1.26,-0.57,104,-19.3,120,0.333,-13.7,108,372.07,108,0,-12
"425",412,"Appalachian State",0.29,0.02,0.21,2.5,2018,517,4036429,"Zac Thomas","QB","Sun Belt",343,0.461,0.41,0.639,390,"Sun Belt",0.261832592146544,225.961527022468,0.443800695249131,1.34758092016316,4.13333333333333,68.9,1.516,-0.00767564656139304,-6.55500216342966,0.365339578454333,1.1045228290813,0.210407239819005,2.546875,71.2,-1.33,29,0.73,0.38,31,11.9,29,0.846,6.2,45,368.9,110,65,81
"426",413,"Boston College",0.28,0.19,0.02,2.8,2018,463,4035312,"Anthony Brown","QB","ACC",339,0.281,0.26,0.461,400,"ACC",0.133097624368786,118.057592815113,0.392333709131905,1.339964561579,3.58426966292135,67.4,1.614,0.0770664456393636,71.5176615533295,0.398706896551724,1.19731559229045,0.178571428571429,2.975,71.2,-1.336,58,0.19,0.16,52,2.4,63,0.583,7.9,36,540.68,68,32,5
"427",414,"Navy",0.27,-0.02,0.02,0.8,2018,453,4039436,"Malcolm Perry","QB","American Athletic",212,0.263,0.148,0.296,452,"American Athletic",0.164496958730035,141.46738450783,0.412790697674419,1.18378942640583,4.17142857142857,70.8,1.331,0.302985091534918,255.719417255471,0.463270142180095,1.34160409813802,0.169811320754717,3.98765432098765,69.2,-1.476,100,-0.89,-0.54,101,-10.2,101,0.231,-9.6,99,349.26,120,21,19
"428",415,"South Carolina",0.27,-0.22,0.21,-0.4,2018,494,4038809,"Jake Bentley","QB","SEC",447,0.359,0.355,0.392,480,"SEC",0.211827380206157,187.890886242861,0.449830890642616,1.25841666166211,3.58620689655172,70.8,1.34,0.222110789350255,222.332900139605,0.486513486513487,1.04367167211215,0.163265306122449,3.50505050505051,72,-1.243,23,0.9,0.44,27,14.9,20,0.538,8.3,35,749.13,21,-14,1
"429",416,"Purdue",0.27,-0.07,0.25,0.6,2018,472,3116188,"David Blough","QB","Big Ten",531,0.303,0.282,0.516,473,"Big Ten",0.207656677687694,190.421173439615,0.442748091603053,1.2526902164724,3.79487179487179,71.8,1.283,0.204897792957237,203.668406199494,0.460764587525151,1.15425277861499,0.169133192389006,3.48314606741573,71.3,-1.329,41,0.45,0.28,40,6.5,44,0.462,6.9,40,526.18,71,31,27
"430",417,"North Carolina",0.26,0.05,0.09,-3.4,2018,415,3895838,"Nathan Elliott","QB","ACC",358,0.161,0.196,-0.186,458,"ACC",0.138689496763933,114.418834830245,0.425454545454545,1.2414068163908,3.06024096385542,72.2,1.259,0.217427356759784,180.247278753861,0.436670687575392,1.26868102932432,0.171557562076749,3.6,69.5,-1.433,89,-0.36,-0.26,90,-2.5,88,0.182,-2.6,77,688.48,29,-48,-59
"431",418,"Penn State",0.26,-0.04,0.17,3.2,2018,426,3116172,"Trace McSorley","QB","Big Ten",526,0.194,0.105,0.433,471,"Big Ten",0.211874643329454,190.899053639838,0.449500554938957,1.20754360938786,4.09782608695652,69.2,1.501,0.0665593157243018,64.5625362525727,0.379381443298969,1.18440687487586,0.219367588932806,2.85714285714286,72.7,-1.218,14,1.23,0.65,16,19,15,0.692,18.5,8,834.38,13,5,-2
"432",419,"Maryland",0.25,-0.01,0.14,-0.1,2018,403,4241937,"Kasim Hill","QB","Big Ten",210,0.104,0.117,0.016,442,"Big Ten",0.189408346445209,139.025726290783,0.397820163487738,1.44376610632819,3.24615384615385,71.5,1.277,0.123609644613091,105.439026854967,0.438452520515827,1.14554852863609,0.159090909090909,3.77777777777778,71.3,-1.358,54,0.24,0.19,47,3,59,0.417,4.6,50,725.52,24,-26,-35
"433",420,"Stanford",0.23,-0.02,0.23,3.4,2018,516,4044431,"K.J. Costello","QB","Pac-12",450,0.451,0.458,0.303,483,"Pac-12",0.201464930105328,165.402707616474,0.43605359317905,1.2420301785527,3.71428571428571,69.5,1.429,0.166720968054088,158.885082555546,0.438614900314795,1.15722317071999,0.170114942528736,2.73255813953488,73.6,-1.11,30,0.73,0.33,37,13,26,0.692,13,21,789.64,18,-3,-8
"434",421,"Florida",0.22,-0.06,0.18,3.2,2018,474,4034948,"Feleipe Franks","QB","SEC",428,0.304,0.293,0.343,416,"SEC",0.253267375609118,226.167766418942,0.479283314669653,1.1572779976814,4.46341463414634,69.2,1.476,0.0888141329787075,77.0906674255181,0.377880184331797,1.21335878800687,0.197309417040359,2.94366197183099,73.9,-1.134,8,1.53,0.82,8,23,9,0.769,17.1,11,835.84,12,1,3
"435",422,"Nevada",0.22,-0.28,0.16,-1.3,2018,451,3122611,"Ty Gangi","QB","Mountain West",488,0.259,0.256,0.297,455,"Mountain West",0.170479557071943,159.568865419338,0.419871794871795,1.27441176834738,3.77011494252874,70.7,1.382,0.100579720407093,96.4559518704023,0.37851929092805,1.26912881055572,0.209302325581395,3.325,70.5,-1.387,84,-0.19,-0.15,82,-0.5,77,0.615,-4.2,84,435.6,88,4,11
"436",423,"West Virginia",0.21,-0.17,0.18,3.2,2018,496,559556,"Will Grier","QB","Big 12",388,0.365,0.381,0.118,514,"Big 12",0.295757004423115,259.378892879072,0.478905359179019,1.35402906344331,4.04166666666667,68.3,1.536,0.187683863674514,157.654445486592,0.455952380952381,1.19007304861955,0.266666666666667,3.94520547945206,72.3,-1.258,19,1.05,0.68,15,13.2,24,0.667,15.1,15,652.76,38,23,14
"437",424,"Temple",0.19,0.03,-0.03,0.8,2018,454,4044122,"Anthony Russo","QB","American Athletic",386,0.264,0.263,0.27,486,"American Athletic",0.185062714975986,174.329077507379,0.437367303609342,1.26360395987893,3.62637362637363,70.1,1.393,0.103655027161733,107.386608139556,0.411196911196911,1.22429206232836,0.204262877442274,3.2,69.6,-1.429,57,0.2,0.15,53,2.9,60,0.615,1.1,66,478.3,82,16,22
"438",425,"USC",0.19,0.06,-0.01,-0.6,2018,434,4374303,"JT Daniels","QB","Pac-12",403,0.205,0.23,-0.18,501,"Pac-12",0.180129527729909,143.383104073007,0.430904522613065,1.25334768459205,3.125,71.2,1.323,0.156556813999973,135.891314551976,0.392857142857143,1.30542424288996,0.220657276995305,3.33333333333333,70.9,-1.358,47,0.34,0.02,62,9.7,34,0.417,6.2,46,928.18,4,-42,-30
"439",426,"Kentucky",0.19,-0.06,0.14,1.9,2018,435,4038940,"Terry Wilson","QB","SEC",354,0.206,0.143,0.37,434,"SEC",0.174913971245722,144.129112306475,0.444174757281553,1.16496126929252,3.73913043478261,71.1,1.364,0.113045764656787,94.7323507823871,0.391408114558473,1.19649188355424,0.197149643705463,2.60869565217391,73.7,-1.157,20,1,0.64,17,13.1,25,0.769,11.4,26,672.43,32,6,7
